172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.164,172.20.2.228
5041,951,644,1362,1327,570,2281,1974,760,792,1524,7305,1340,760,1330,1330,570,1900,1330,1900,1140,74,1365,1340,6343,2728,0,0
1656,1552,1524,1520,1900,954,792,2847,1552,1975,2090,5650,1340,2280,1330,1330,1330,1330,0,1330,1330,74,1326,1530,9335,400,74,0
4404,2281,1932,1517,1974,831,2277,1478,2471,1742,718,6237,1682,1330,1900,1330,760,760,1900,1330,760,74,2109,1150,9110,2244,0,0
266,2048,2281,2090,1524,1102,1288,1517,1742,951,757,6312,1411,1140,760,760,760,1330,2660,1900,760,74,1785,1340,7967,0,0,407
2539,570,1478,381,2122,261,760,1672,951,2048,222,6087,1682,570,0,1900,570,760,1330,2470,1900,74,2003,1340,5831,1496,0,0
1257,1714,2921,2312,1141,1482,1524,2206,222,2090,2281,6343,261,1140,1330,2470,760,1900,1140,570,779,148,1979,1340,7851,632,0,407
1796,982,2048,2281,1552,2351,1478,1780,2094,5513,2882,7300,1872,1711,1140,760,1675,4932,1140,2217,2904,74,2306,765,9260,597,23701,0
2990,3041,1214,792,3231,570,1521,644,1517,4372,951,7049,1340,3042,1330,1330,356,2670,2660,2090,760,74,1711,1340,7904,1074,11982,407
1656,1552,764,1141,2393,570,1362,872,760,4653,1723,6824,2680,1458,2090,3880,2433,2559,1900,2722,244,148,1446,1340,6097,400,17649,0
4346,1901,74,2164,1517,1140,1711,2198,4035,6075,1330,8448,1340,2217,2090,1511,1675,2192,2660,3718,1574,0,3054,1340,8527,2138,17639,0
2617,222,381,2048,3005,1482,2238,3454,2122,6238,1460,8448,2176,2216,2660,2617,915,2739,1330,4350,3113,148,1887,1150,8709,800,17625,407
2885,1897,2882,2090,2164,1781,1591,908,1711,3579,148,7008,3022,2405,570,1330,1675,2984,1330,2253,1330,0,1876,1340,9270,1883,8829,0
1154,760,1711,2122,2816,342,2090,1226,2122,5721,1460,8388,2366,1330,2090,4706,931,1985,760,4985,1819,148,1750,3255,7385,400,25784,407
4015,1900,2808,2281,1362,1591,834,2314,2854,4993,2441,5169,2447,1330,760,2629,916,3200,760,2835,2140,74,1964,1340,9927,2160,35778,0
2916,2284,947,982,2626,1482,194,2956,1404,6163,2281,5725,261,1330,1140,1144,1676,2835,760,4424,1213,74,1905,1530,6558,926,35488,407
2095,1552,912,1141,1552,1517,1362,1442,2048,5420,1552,5565,1418,1637,1330,2090,1104,4201,570,2217,1574,74,2158,0,6749,797,23774,0
1682,1521,1594,792,3762,834,951,2916,1517,7271,2413,7636,1989,3126,1140,3377,2128,4249,1900,4162,2144,74,1774,1150,8784,474,29638,0
7866,2882,2284,1141,2242,3230,1742,1632,1362,6409,1974,7129,2105,2241,1900,1131,1105,3427,1330,2579,1574,74,1788,2105,11476,4488,17635,0
2420,1711,1552,1140,3765,1591,757,1016,381,6543,1797,8598,1492,3050,1520,4137,2257,1225,1520,4158,2334,0,1922,1340,7230,1393,17633,0
1039,2354,1711,2090,3614,1672,2242,3293,4419,8640,2595,5732,2176,2694,1330,3951,1105,1751,2783,4833,2271,74,1905,575,11882,400,26391,407
4589,1828,148,1711,1552,1591,1520,3562,5136,4485,2564,7119,342,1836,2090,1702,1900,1666,5445,3007,1818,74,1816,765,8332,2251,8834,0
2489,1330,1517,222,3187,2242,194,2325,1839,4802,4272,7380,2366,2660,1330,3501,3366,1975,2837,4305,244,74,1824,1340,6979,800,25880,407
2033,3775,2808,2471,4928,261,2164,3146,1973,5864,4259,7460,1107,2090,1140,4719,345,2810,5196,4601,1814,148,2038,1915,10654,600,35771,0
1848,3356,1404,222,4517,834,6121,2239,2159,6381,4545,5986,0,1520,760,2820,3006,2735,4271,2974,2008,74,3428,1725,9586,400,35456,407
2946,2198,4773,2471,2955,2164,1552,2455,1872,9756,4461,8448,2176,2398,1520,3005,1867,7951,7334,3806,2522,148,1940,1150,9811,1116,30952,0
3965,2217,644,1552,3838,570,3677,1972,2821,4698,4214,5650,1150,1637,1330,3377,345,2501,7321,2756,2368,0,1700,1340,6387,2241,20829,0
1109,792,1711,1900,3005,3192,1135,1703,4223,6213,5302,8743,261,2978,3420,4137,1675,1426,3486,3668,2579,74,1887,765,8844,400,17644,407
3097,2087,6577,2090,3397,2351,2393,3024,2935,6021,4878,7124,1107,1469,1330,4137,3037,2519,3728,3274,3155,74,1922,1530,12127,1728,17721,0
1183,2591,2281,1288,3009,2242,1330,2313,4898,6881,2800,7977,1601,2418,2470,942,915,1229,5234,5505,2217,74,1831,2680,9953,442,17592,407
4634,2379,2808,1521,3600,1591,1214,2043,3265,6151,2024,6472,2257,2408,1330,2047,1866,2673,4313,3589,1818,148,2084,2680,9221,2335,17542,0
2617,510,1517,2312,6002,2432,1524,4491,2817,10445,5113,8859,2176,3769,2280,4590,3153,3955,4479,5149,1624,74,2053,1915,10333,874,43963,407
2029,982,2238,1711,982,2351,982,2158,2055,5584,3277,6563,1682,1330,1900,3959,1866,2442,2537,2844,1818,148,2306,765,7936,600,35462,0
1656,2800,1404,1568,4518,1721,2044,2738,132912,4554,4820,8753,1915,1330,5979,570,2090,1461,3505,1986,2911,74,103533,1530,9671,400,7191,0
991,1289,2284,1711,4285,2090,1552,1216,2853,4798,2790,7380,575,1079,570,2090,1330,4088,7947,3229,1492,74,1668,1340,6307,326,11983,0
2391,1838,718,1140,1132,1974,1271,3770,5457,4747,4485,7556,2754,1900,570,3005,1484,4003,9912,2660,1058,0,1319,765,8789,1380,11982,0
1109,5582,1901,834,2812,1102,2928,2541,4733,3743,7909,5415,1791,1074,570,5088,760,2230,10084,3126,2306,74,3548,0,7722,400,8794,407
4449,2365,2312,1330,6280,1591,1863,2562,3593,7486,3957,6012,3022,1722,570,4639,2018,1742,6006,6031,2632,148,1456,1150,9751,2138,26428,0
2691,2777,1517,2706,6373,1304,2756,3020,6387,8013,6123,10160,836,884,8020,3946,2590,2314,9231,5404,1762,74,1898,2105,8699,842,26416,407
2243,2374,718,3041,5996,1591,1974,3818,6664,3921,5348,5495,342,1648,1330,2047,570,2230,12133,3321,1736,148,2031,575,10424,871,8819,0
