172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.164,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.165,172.20.2.228
3120,1668,2731,1141,1141,1327,986,2272,4150,5716,2785,8187,1912,2660,1900,1900,1520,2221,5165,1839,1574,346,74,1845,575,11176,1316,0,0
4515,838,912,222,1974,2238,2242,1141,342,912,2281,7129,1562,570,0,2090,2660,2090,1520,760,1330,0,148,2472,1915,6493,2325,0,0
1656,2164,2921,1521,2928,2921,1517,792,644,2425,570,6232,1721,1330,1140,1520,760,1330,1900,1520,1140,0,74,1778,575,9847,400,74,0
2805,3002,760,1552,4716,1334,2122,2087,2854,1714,1900,5014,1989,1140,1330,570,760,1330,1900,1140,0,0,148,2789,765,10213,1412,0,407
222,1781,1700,2281,2808,2312,2847,2808,1520,2386,1140,5826,2299,1520,1330,760,2660,570,1140,570,1330,0,74,1689,575,12363,0,74,0
3521,1672,570,2048,1140,764,1288,2277,757,1334,1362,7972,2754,2090,1900,2470,0,1330,0,1900,760,0,0,1400,1915,7752,2167,0,407
1904,1327,2432,1330,1974,792,1711,2023,1478,718,1711,8709,913,2090,1140,0,3230,2660,760,1140,2869,0,74,1781,1915,7631,674,0,0
2469,718,1781,1520,1672,2847,1404,644,1781,1517,1742,5896,1717,2090,1900,570,760,2090,2090,2660,760,0,74,1806,0,8823,800,0,407
2029,2087,2432,1404,1591,1102,3572,2664,2052,1672,1141,8704,1488,1900,1168,1330,1900,2090,2660,570,2660,0,148,2289,1150,9847,600,0,0
2029,1974,2161,1711,2432,1517,1404,982,2351,1665,222,6648,1721,1900,1330,1140,2090,760,760,1330,760,0,74,2148,1915,8117,600,74,0
2560,1524,2242,2882,2161,342,2432,1711,2664,3192,1330,9937,987,1330,1330,1330,2660,2090,2470,1900,1330,0,74,2250,3445,10323,1735,0,0
5097,1591,1330,2281,2998,1974,2087,908,2312,1288,1900,4507,2874,1520,760,0,570,570,1330,570,1520,0,148,1467,1340,10594,3330,74,0
5118,1102,133321,1362,757,1901,1668,1517,1140,1711,2470,6974,1989,1330,1330,0,1330,1330,1900,1900,2090,0,0,103631,1340,8378,2422,0,407
1582,2161,1594,2847,2164,1404,1141,1478,908,1974,951,6568,1492,760,3230,0,1330,570,2090,1900,570,0,148,1626,1340,8854,400,0,0
2768,718,2087,760,1524,1521,982,2734,757,1517,1552,9371,2292,2090,1140,2090,2090,2090,1710,1140,2470,0,0,1471,1915,8047,1000,0,407
1656,1517,2808,2660,1591,2808,2284,1376,2242,2238,1711,7561,913,570,1900,760,1900,2660,570,1900,1539,0,148,1707,1340,10323,474,0,0
2029,2312,2087,2854,1102,757,834,2164,1591,2235,1552,7295,5547,760,1330,760,3080,1330,2090,2660,1140,0,74,3297,0,10146,600,74,0
4268,1524,1672,2122,1591,2808,1524,1901,1102,3572,951,9270,1372,760,2850,1330,2660,1140,2090,1330,1900,0,74,2363,2680,9516,1696,0,0
222,644,2161,381,1672,831,2351,1105,1214,2425,760,6423,2296,1900,1140,0,1140,570,570,1900,2281,0,148,2187,2105,7385,0,74,0
3892,1714,2432,2312,2847,3002,1478,1711,1711,1672,570,6382,1414,1520,2090,760,1330,760,1140,1330,1900,0,74,1788,765,8929,2125,0,407
148,2921,2164,2281,2882,2734,2471,2093,2090,644,1900,10739,1682,2090,3230,3230,1330,760,1900,3420,1729,0,74,1707,1915,12208,0,0,0
5163,2242,2094,792,1900,2284,2808,2087,2161,2284,1552,5319,1414,0,2090,760,570,1330,1520,1330,570,0,74,1520,1530,10504,2686,0,407
1531,2277,760,2847,1404,1404,1711,1672,1478,760,1141,7310,1492,760,1900,760,760,1330,1140,2660,1900,0,74,1598,1915,7791,400,0,0
2147,1478,1517,1900,1524,1711,1552,644,261,2161,2122,7716,1337,1900,570,1330,1520,0,1900,1900,1330,0,74,1619,1915,7892,600,74,407
1679,2087,1478,2164,3491,1478,954,1949,1672,2238,2281,6648,2253,1330,570,1330,760,1330,1520,1330,1349,0,148,1781,2105,10408,548,0,0
2029,2924,2921,2471,2242,1327,2734,752,2351,7897,1362,7305,1912,1521,570,1330,2813,4850,1330,2407,2334,0,74,1880,1340,11507,674,23701,0
3382,1862,2242,2122,3076,2242,1408,2389,1672,5100,1141,5981,1562,1653,1900,570,1103,3082,1330,2680,1004,0,74,2779,1340,8704,1970,20740,0
222,2734,1021,1711,3917,1401,2351,1578,2164,8577,570,5500,956,664,1900,1701,344,3052,1520,5237,1058,0,148,1926,1150,9030,0,26360,0
4023,3002,2094,3642,2847,2854,1668,1625,2471,6543,570,7491,2564,893,760,570,1900,2031,760,3569,2904,0,74,3135,1725,12440,2199,8770,407
1531,1591,792,2471,3723,1742,1897,3531,1900,3894,2280,9115,1344,2978,1330,1140,2090,321,1900,3126,3113,0,74,1541,1915,10734,548,8805,0
5085,342,2094,148,570,2854,1552,2765,2087,4655,1684,9167,2754,897,1900,4516,2815,2173,760,3843,2144,0,0,1594,2680,7902,2351,17597,407
1605,1517,148,1900,4409,2122,1141,2854,2808,2654,3041,8409,1298,0,2470,570,2816,2990,1900,2370,1710,0,148,1439,1915,10253,400,8914,0
2221,2048,3417,760,4107,1327,5984,1691,2161,4690,1552,7380,2867,570,2660,1140,760,1409,2660,3330,2335,0,74,3297,2105,11470,600,16673,407
2425,757,4051,2734,1591,1478,194,2057,1672,6060,2601,7310,1488,2967,0,4124,2625,3242,1330,1671,2930,0,74,1866,1915,10020,990,18972,0
148,1214,3491,1901,2812,1327,1471,3098,2161,10414,1742,6488,1146,876,2090,1900,1675,4417,570,3059,1818,0,74,2229,765,10835,0,32904,0
3604,1524,912,1362,1401,2242,133074,1711,1334,5049,1900,6899,1562,2216,760,2094,1022,2221,1330,2809,1330,0,74,103653,1530,8223,2086,8780,0
222,2734,2921,2281,2238,1781,982,2238,2122,3619,1078,9702,1724,2365,1140,4638,2055,2222,760,4140,3230,0,148,1689,2105,10072,0,8805,0
5595,1102,1334,792,1862,2664,951,1625,2470,5936,760,6744,649,329,1900,2272,3005,2539,2660,3399,1384,0,0,1877,575,6413,2883,17618,407
1508,1401,1974,1517,2090,644,2312,2309,3002,11332,3041,7305,194,2787,1520,1702,1675,4079,570,4233,2027,0,74,1661,1340,9506,400,29517,0
2147,2808,0,1524,3424,1521,1141,3245,1707,15470,1299,10002,2556,2285,1330,4507,3289,6723,2090,5721,2694,0,74,1637,2105,9265,600,67334,407
4150,2847,3572,2808,1974,2048,2618,2448,3002,8625,2029,5836,1488,2723,760,3749,2209,2331,570,3880,814,0,74,1622,1915,12795,1780,26501,0
222,2048,2847,2854,5022,3491,1900,1882,1591,15736,2453,8774,952,1962,2660,5805,2364,5297,2660,8570,3198,0,148,1654,765,10654,0,71056,0
3757,1524,2242,2882,3266,2048,951,3139,2242,10110,2790,5756,2902,1645,1140,3190,1105,2655,1140,5328,1628,0,74,2328,1340,12324,2231,35348,0
222,1594,1591,2879,3347,3316,3639,1952,1711,7201,1199,8519,1721,1900,6570,1702,3003,3212,1710,2709,3399,0,148,2148,1530,8523,0,27902,0
5188,1334,1672,2692,3607,3572,951,741,3424,13850,2048,8774,2895,3116,1900,2285,2602,7353,1330,4362,2578,0,0,2374,765,11918,2370,59426,407
1582,1591,4187,1141,3987,1214,2122,1802,1900,15036,1839,8453,60197,2858,760,3168,3315,5730,2470,8361,2069,0,148,95236,1915,10047,400,54224,0
4933,1102,1714,2428,4145,2664,1141,2031,2161,13766,539,9852,2179,3282,1330,5082,1830,7733,2090,5398,2062,0,0,1792,1915,9521,2454,50380,407
1582,2847,1288,1214,3079,1552,2048,2313,2808,11487,1470,6568,3787,3150,1330,2419,2853,3442,1330,8230,1457,0,74,1770,1340,9376,400,43984,0
414,1288,1327,947,5444,2281,2351,2570,1021,14827,2632,8929,1527,2535,1330,3939,2521,4380,760,8815,4780,0,148,1464,1340,9441,0,61586,407
917,1517,1478,1974,2506,1478,1140,2310,3002,10549,2788,6483,2828,2217,1330,2992,2602,4976,1900,4900,1818,0,74,1746,0,10188,400,44207,0
222,4654,1591,2281,4487,947,1974,1270,831,10935,1300,7796,1527,2684,1900,3190,2020,3169,1900,5475,2578,0,148,3371,2680,8256,0,44119,0
5432,1672,1862,2122,4026,342,194,1239,3002,9612,2219,6418,1752,1711,760,3960,1466,4244,1140,4993,1818,0,74,2437,1150,8523,2525,38723,0
1508,2731,2921,951,2618,1591,2122,2001,644,11910,570,7711,4214,1711,2660,760,2508,8267,1330,4198,697,0,74,1961,1340,10785,400,53594,0
4567,954,2094,2312,5437,2284,2281,1333,760,17342,887,8373,2179,1463,2090,6223,2364,7406,2660,9559,2116,0,0,1803,1340,8859,2138,82671,407
2277,74,1214,947,2245,644,792,2372,1482,15814,2028,8197,2109,2616,1900,3551,3479,6128,1330,7810,2822,0,74,1400,1915,6017,600,64596,0
414,2087,947,2854,5634,2281,3417,3610,4177,18726,2190,9446,2176,3302,2660,7062,4040,4437,1900,10764,2116,0,148,1863,1915,13126,0,73703,407
3568,2808,2048,2048,5336,2238,1102,6037,2242,14287,1840,9009,2253,3054,1900,4893,3613,3952,2090,9671,941,0,74,3039,2105,11431,2296,52995,0
222,2657,2087,2664,6427,2351,2470,2682,831,17242,4423,4688,1527,1417,570,6262,1977,5208,0,8580,1302,0,148,1841,1340,11246,0,71300,0
5337,1862,3002,792,3076,1288,1711,3139,1482,12390,2789,8593,2902,2821,2090,3750,2022,4297,1520,6124,3148,0,74,2624,765,10444,2686,44172,0
1656,1021,2921,4418,3917,2549,3052,3422,2906,13046,3481,9536,1531,3052,6721,6703,2034,4526,0,6959,3318,0,74,1961,2105,11652,400,59693,0
4308,2242,1524,982,2432,2094,3041,3021,1901,20606,2409,8052,839,1448,1330,5102,4509,8121,1900,6734,2628,0,0,1923,2680,8924,2209,113377,407
2277,1404,5798,1141,4483,3642,1742,2985,1520,14597,2410,6232,1534,3255,1140,3390,2756,9180,570,4879,1708,0,0,1537,765,11001,726,69483,0
2834,1524,1714,2057,4529,2485,3406,3640,2819,15264,3830,9742,1989,1957,6178,4307,3348,4291,1330,5775,1818,0,148,1584,1150,12138,1422,45847,407
962,2808,718,1140,1594,2882,718,1356,1668,14221,3169,9255,342,2714,0,5077,3696,7149,3230,3820,1818,0,74,1463,765,9100,442,50453,0
414,1517,2277,1330,2587,2277,1897,2264,831,11371,2950,5500,1527,634,1900,5249,3043,2365,1330,7546,1248,0,148,1464,1150,9185,0,44302,407
2666,1478,4518,1404,3266,1672,1140,3063,1102,11546,2600,5821,1873,1215,1330,5011,1450,3868,1520,6072,2388,0,74,1700,0,9371,1000,35308,0
1582,1401,644,1711,4452,2087,2164,1306,2161,12402,1883,8453,952,3593,0,3750,3350,3708,2660,6461,2632,0,74,1989,2105,7706,400,44150,0
4227,342,1711,2692,4371,1672,954,2389,1524,20077,1208,8779,797,2100,570,6737,5059,5540,2660,11096,3748,0,74,2254,1530,6894,2138,88130,0
2351,1401,982,2038,2963,1401,792,2482,5922,11707,1459,7310,3449,2660,1140,3204,2379,4108,2090,5931,1818,0,0,3515,1915,9557,916,62447,0
3180,3424,2471,133391,3192,1524,1711,2074,2048,10135,1077,8779,74,2090,1330,6367,3160,3759,1330,8345,1302,0,148,102998,575,8588,1567,88690,407
1065,2421,1932,1987,4110,1986,4017,3348,3000,16431,745,8506,769,1444,5075,2259,2018,6603,1900,5458,3872,0,74,1587,1530,7300,516,66310,0
414,1900,2277,1524,954,381,1517,1546,1478,18508,2122,7716,1601,2629,1140,570,3389,11132,1520,3433,2008,0,148,1478,2105,7711,0,71739,407
2946,982,2090,3378,2319,1478,2242,2139,1524,20818,701,7721,1488,3879,0,4121,2140,7276,2090,9451,2306,0,74,1622,2680,9185,1232,77014,0
1656,1711,1900,2094,5782,1021,570,3363,2734,18487,2191,6819,187,3119,1330,5978,1961,5247,1140,10468,3067,0,74,1781,765,8983,400,70759,0
4708,1552,194,908,6046,908,1901,2903,2284,23764,2741,8438,1488,4215,1140,6099,5059,6236,2090,12632,3066,0,148,1940,0,7936,2399,79347,0
1434,2281,2692,1971,6162,2161,1974,2979,1401,22343,3297,6157,1146,2359,1900,6736,2876,4154,2090,10233,3085,0,0,2035,765,11422,400,79099,0
2863,2692,951,1478,5437,1598,2471,2605,1482,20704,1398,9040,1989,2307,1900,6181,3970,5840,2470,10665,4264,0,74,1877,1915,9115,1380,87985,407
991,1330,2312,1021,5398,718,982,1548,757,17293,3371,5831,2684,886,0,4863,2998,6145,1900,9730,4186,0,74,1650,765,7646,516,97152,0
2855,1330,3041,3002,2245,1714,1711,1232,718,14682,3201,4352,649,1067,760,3585,1675,6500,0,7813,2062,0,148,1834,765,9063,1493,118239,407
2872,74,3447,1795,4409,1182,1040,3961,1690,16446,1064,8736,1682,2207,5915,3942,2973,8708,1710,8176,2766,0,74,1689,1530,7828,1190,91541,0
1848,951,3315,1521,4304,3041,1591,2670,834,19055,1300,7742,1337,2572,1140,3561,3582,9674,1900,10284,2123,0,74,1683,1150,8066,400,87026,407
2103,792,1140,1404,5511,1478,760,1297,2284,21045,2349,8047,723,2694,1520,6168,2711,7336,2660,9197,2360,0,74,1506,1915,7556,600,82312,0
1955,1141,1974,3611,6352,757,1594,1876,74,18472,541,6829,1527,2930,1900,2787,2710,5368,1900,9775,1872,0,0,1848,1915,8042,600,64902,0
2486,2312,1901,1288,4941,1862,764,2035,912,15191,1397,6630,797,2484,760,6376,2935,3748,1330,8107,2062,0,74,2014,1367,7450,1545,52808,0
637,951,1742,2847,3723,2731,792,1135,261,16914,1459,8448,1534,1608,2470,6095,4322,3737,570,7849,2577,0,0,1989,1340,9958,326,61275,0
2731,1330,2471,1102,4867,2094,1141,1894,2048,20593,1397,5976,1414,1456,1520,6015,3735,5271,1520,11616,4508,0,148,1849,765,7861,1180,114954,407
2425,1594,982,2169,4110,2556,3014,2219,3195,21070,1395,8637,1344,2695,5325,5794,2928,4699,1900,8460,2326,0,74,1774,2105,7124,726,78410,0
2147,2470,2847,2854,4874,1711,187,2927,2238,18901,1999,8378,1601,1079,1900,8413,2881,8847,1140,10735,1733,0,74,1598,2105,9772,600,122245,407
3965,982,7690,2139,5538,2670,2580,3531,2603,21109,2713,7703,2828,877,5413,6591,3650,7844,1330,9674,2557,0,74,1770,1340,12355,2431,98529,0
1955,3041,2090,954,3917,2161,2660,2562,3510,17581,133527,7967,2867,2280,1900,1701,2947,9612,1731,6123,1302,0,74,103622,1340,12218,600,65373,0
2272,792,1524,2238,1936,2808,381,1927,2985,12898,1414,7941,2327,2429,1330,3939,1035,5036,3382,6750,2008,0,74,1746,1915,8047,1496,44223,0
2351,3360,2122,2161,4064,1591,834,1757,3049,13523,6023,8112,2486,2359,1900,7070,3234,3823,6104,8712,2876,0,0,2109,765,8859,916,52776,0
2649,1552,951,2238,7872,1862,951,2061,1993,23057,4860,8067,839,3898,1900,8781,3638,4552,1995,14295,1790,0,148,2145,1915,8187,1577,88095,407
2573,3559,1552,831,6874,1404,2692,2251,2597,21906,1874,9110,769,3009,1900,4879,3277,4679,4670,11380,2875,0,74,1604,1340,9105,1106,69883,0
4612,1470,1141,912,5052,1714,1711,3389,2560,14221,3215,7460,2754,1394,1900,5928,3403,5064,3897,8380,2856,0,74,1771,2105,8202,2096,69363,407
1656,1330,718,644,5821,2122,1616,3755,1742,22215,4579,7455,2447,2724,1330,7647,3428,6485,5191,12174,4716,0,74,1456,1340,6167,400,120951,0
2225,1711,1900,2864,6016,1909,3630,4941,2216,18620,4593,9856,1527,319,7141,7131,3232,6936,4335,10630,2041,0,74,1803,1340,9922,716,104445,407
1656,1742,4664,1416,4786,1491,2566,3137,2364,21506,4948,8900,723,2017,6588,4330,3539,9802,2321,7744,2557,0,148,1386,1150,9017,474,96315,0
843,2471,1974,3041,3387,2847,2317,2637,3504,14092,2196,6568,762,1941,570,4445,1272,9615,4110,4631,2759,0,0,1922,1340,10835,558,65366,0
2420,2122,2471,3391,5299,2254,4090,3854,2482,13733,5682,11476,1562,4336,3884,5991,3124,6368,5022,7977,4023,0,74,2201,1340,12469,1338,56091,0
2499,3346,2122,1517,3913,1591,2122,2066,2250,14255,1398,6793,2299,2306,760,6555,4375,3936,2615,7236,2062,0,74,2063,1340,9596,1032,52788,0
4826,3711,1711,2618,5445,2854,1711,2477,3994,17691,7253,8378,1601,2406,1330,9175,2720,3143,9519,10651,3364,0,74,2043,2105,8267,2409,70557,407
6531,1458,982,1021,6157,2164,2312,1846,2157,16113,3478,7295,959,4750,1900,5917,3279,4268,4508,11227,1755,0,74,1569,0,6051,3340,61632,0
4686,1646,1141,1862,6378,2094,2471,1588,1872,18165,4983,5841,1601,3611,1710,5597,2832,3156,6245,9899,1464,0,74,2039,3445,7936,2212,69798,407
1656,1553,1668,834,7918,2122,1478,2920,4119,24020,7001,8799,2063,1538,1330,10744,2664,6713,6374,13619,5240,0,148,1643,3255,9340,400,113986,0
1051,3041,1900,2854,5097,2277,947,3995,3066,24557,3728,8122,2486,1330,1330,8957,3413,7595,3954,12182,2868,0,74,1718,1915,11145,442,150677,407
2671,2882,5600,2882,3266,1288,2431,2563,3329,23750,4610,7455,1488,1373,570,8424,2866,12811,3652,9850,3310,0,74,1746,1340,11874,1486,145980,0
2277,3348,8515,2657,3896,757,1937,3234,4540,26345,4502,6573,956,4697,760,3935,2725,14549,6119,5220,3247,0,0,2035,2105,11771,874,99511,0
4551,2048,1141,2242,7400,2242,194,2814,5272,28275,1539,7305,1562,3329,1330,5634,5979,9073,4062,13126,2794,0,74,2254,1150,8598,2054,103435,407
1656,2600,1552,1330,5508,834,2122,3577,1912,15291,5124,7380,2109,3011,1330,5227,2377,5939,4979,8698,2550,0,74,2066,1340,9115,400,64840,0
4678,2977,1901,2432,138312,3813,2471,3846,2939,23525,4401,7129,839,2364,1520,7301,3625,3786,3119,12773,2984,0,74,105339,1915,11244,2293,87893,407
1656,760,792,2351,6263,3452,1552,614,1837,24355,5483,6087,1608,2259,760,7588,4304,5044,2591,12640,3880,0,148,1643,1150,8929,474,88078,0
1257,522,2277,342,5246,2284,1327,2263,2309,20533,5026,8076,2176,3424,1330,9542,4196,5084,3329,11886,3080,0,74,1718,1340,7385,632,95809,407
148,3205,3420,261,9162,570,1247,4135,3705,30769,6448,6573,1678,1407,0,10815,5796,9616,9269,16975,2962,0,74,1312,2105,8598,0,187004,0
2425,4079,4605,3055,6541,1808,4401,3349,5415,15200,7887,7776,1527,899,6674,7448,2971,4364,6165,9070,2808,0,0,1576,575,12096,916,67528,0
4245,1742,4220,1913,7119,1719,3291,4134,4290,37818,3576,8274,2137,2860,6254,8436,4387,16938,4992,16635,6397,0,0,1870,0,9904,2209,198098,0
1656,2281,1742,1330,3797,1552,1362,4156,3007,18357,2672,7054,2486,2091,1140,3189,2708,8925,4979,7146,3085,0,148,2320,2680,10995,400,88853,0
4242,2610,1711,1914,4301,4002,2603,3738,5700,15277,4320,8014,839,1792,5679,6488,2282,7167,7104,8142,1797,0,74,2008,1150,9105,2170,63206,407
1656,908,2122,2921,6454,1742,222,2313,3166,32181,2191,7605,959,4001,2090,6155,4522,9731,3000,12982,2468,0,148,1752,1530,9105,400,112310,0
3521,570,2471,3572,8743,2471,1711,1682,1229,23623,5397,7566,3706,3578,2090,7243,1948,5485,3047,12491,1464,0,74,2032,1915,10749,1977,79147,407
222,2693,2048,831,7499,2734,1478,4118,2030,25004,6963,8363,913,3699,1900,11877,3073,5562,6689,15204,3608,0,148,1654,0,9511,0,96401,0
2617,1850,1330,1672,5845,2660,1327,4516,2046,18888,4075,7972,956,2262,1330,5597,3851,4719,5397,10904,4139,0,0,1707,2105,8368,916,97238,407
4318,1875,2854,1781,5048,2087,2417,4112,2508,22104,3722,7786,1298,1966,570,9148,3165,6805,6951,13726,3972,0,0,1482,1150,9922,2012,132312,0
1508,2471,6310,1345,6004,1109,2218,4457,4725,20655,7132,6636,2296,1975,5186,9937,1996,6300,7854,12121,3296,0,0,1911,0,10194,400,102844,0
4559,222,3726,760,5445,951,2624,3854,3014,22157,2558,7305,2137,1955,2660,5485,5456,8271,1892,11109,3483,0,74,2452,1340,8809,2293,122135,407
1656,1335,4813,2090,5262,132652,2692,3186,3019,20659,3886,8202,769,2652,1330,5435,3636,14471,6917,8171,3817,0,148,103312,2680,9230,400,130487,0
3500,1447,5211,1688,3769,1339,1275,3624,6513,14084,2100,6701,1414,2694,4091,3538,1827,3012,6158,9231,3704,0,74,1997,2490,10084,1864,58523,407
222,2787,718,1591,7372,1288,1362,1443,4917,28373,8149,5906,1682,2231,760,7061,3733,8035,5906,9841,2550,0,148,1682,1340,8629,0,88910,0
1331,3643,2731,1482,6161,2090,2277,3555,2251,23856,8282,8236,1791,2356,2660,7842,3259,5962,6265,10493,3799,0,74,1672,2680,9591,632,91446,407
1807,3533,760,2921,6914,74,908,2776,3932,17237,6605,5831,2828,1590,760,8176,2363,4275,7086,10311,2794,0,0,1386,1150,10413,674,62080,0
1582,1584,2660,3002,9295,764,1140,3018,3022,26323,7760,5645,952,2946,760,8397,4089,5303,8999,13789,3491,0,0,1622,765,7706,400,105085,0
4124,1620,2094,757,8049,1591,2284,4205,3951,28837,9552,7134,987,4473,760,10409,5089,6874,7763,13888,2258,0,74,1916,2870,10323,2286,132278,0
1656,2597,2312,3319,10075,2293,3360,5965,4220,25494,8977,9838,3061,2216,5406,8226,3541,8447,11491,14721,4649,0,148,2031,2680,9195,400,139925,0
3570,2312,3030,570,7516,261,3364,4982,5732,26148,9835,5986,74,3034,1330,6164,2119,10991,10851,11617,5178,0,74,2184,2105,7400,2209,131812,407
222,2400,1552,2170,4142,3199,3548,3448,3391,17409,3768,8572,194,2727,4712,6502,3404,5153,5054,10982,4891,0,148,103560,1340,9400,0,81492,0
3352,1184,8523,1672,5245,1517,1711,3402,4079,27446,3697,8634,649,3359,1140,6043,5157,13695,9750,11255,4556,0,74,2233,1915,9421,1706,134457,407
1955,1502,1478,1986,8957,2292,2938,2848,7472,25959,10404,10701,2447,4269,5848,12351,4305,7771,11887,13797,3608,0,74,2997,765,9958,600,107537,0
1700,3422,1900,912,6115,2168,1591,4162,3256,26070,6983,6317,1118,3042,1330,7968,3637,7503,7120,12041,2956,0,0,1827,1915,8960,400,103047,407
