172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.167,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.228
9,11,9,16,12,9,17,13,14,29,11,61,12,8,11,4,13,19,0,3,4,5,2,25,3,94,5,0
4,17,5,14,17,12,9,15,17,81,8,74,12,2,13,17,5,7,10,18,17,10,1,37,8,100,0,1
7,8,15,9,11,8,10,21,12,57,14,66,7,9,14,10,9,11,0,24,13,20,0,19,8,103,6,0
4,18,10,5,11,7,16,10,9,22,10,69,8,7,0,8,11,15,6,10,11,5,0,22,4,83,0,1
26,5,2,17,6,17,4,15,29,13,10,79,7,10,6,11,14,6,10,4,11,0,1,36,10,82,22,0
9,15,16,7,9,8,9,10,3,6,7,62,11,7,4,3,7,14,7,3,3,0,2,32,14,80,4,0
25,14,5,13,12,13,6,1,4,10,13,82,9,8,11,11,7,4,7,10,14,0,1,32,10,82,19,1
6,12,11,8,14,9,6,16,9,13,8,74,16,4,7,17,14,4,7,11,10,0,2,33,7,103,5,0
23,9,4,3,8,10,17,12,10,4,2,55,14,4,8,14,3,6,6,7,4,1,1,34,3,77,15,1
4,12,9,9,10,6,12,13,9,15,5,74,12,3,4,13,11,11,7,11,7,0,1,30,3,78,1,0
4,9,4,5,7,0,3,7,15,8,3,62,4,8,3,4,0,11,8,14,5,1,0,22,10,49,0,1
12,12,9,12,5,14,6,11,12,15,6,76,8,18,8,11,13,7,9,0,3,0,0,27,7,97,11,0
10,11,3,4,5,14,7,5,14,7,13,59,7,10,3,9,7,11,11,7,6,0,2,23,4,78,4,1
27,5,9,9,4,18,17,14,12,10,4,79,12,13,7,7,13,10,7,7,4,0,1,29,11,93,21,0
7,12,13,16,17,6,5,5,13,9,6,60,6,10,7,4,4,6,11,11,0,0,2,30,7,78,4,0
16,9,8,9,16,10,10,17,8,18,3,58,10,6,4,3,6,11,7,6,6,1,1,31,11,102,16,0
2,9,9,6,14,9,6,12,13,9,7,59,9,3,11,8,7,11,0,14,3,0,1,31,6,82,0,0
5,9,4,30,11,20,7,8,10,15,5,80,4,6,4,11,3,4,14,7,10,1,1,41,7,80,0,1
7,9,5,7,12,3,6,11,16,27,5,76,11,10,7,10,15,7,7,7,10,0,0,35,3,77,5,0
10,7,6,17,9,5,6,7,12,5,17,62,11,7,4,7,6,6,7,3,9,0,1,30,14,80,4,1
25,12,13,6,5,7,6,12,6,5,2,72,9,0,11,10,14,8,7,10,4,0,1,25,8,68,23,0
9,5,9,10,8,9,14,3,10,3,14,65,4,7,10,7,3,10,4,7,7,0,2,29,10,74,5,1
18,5,12,4,19,20,14,9,2,10,9,85,6,11,7,7,4,10,3,6,14,1,1,26,10,91,17,0
28,8,7,5,9,12,8,5,9,11,8,61,9,4,11,0,14,4,3,7,11,0,1,23,7,71,23,0
13,11,12,7,16,10,9,17,4,8,15,78,6,7,14,10,11,3,10,11,8,1,1,29,0,74,7,0
6,8,12,7,15,15,12,3,7,8,5,63,8,11,10,6,4,0,4,9,7,0,1,27,6,86,4,0
9,10,3,6,11,10,10,8,18,13,6,76,15,10,3,14,7,4,14,10,4,0,1,35,10,78,4,1
14,6,5,13,2,10,14,9,7,12,13,58,8,3,8,6,10,4,8,3,7,1,0,24,9,82,11,0
9,10,10,6,11,7,7,5,7,12,3,81,5,12,7,11,13,8,13,7,3,0,2,28,7,72,4,1
21,5,10,14,12,10,4,9,6,8,6,59,3,4,0,11,7,10,4,8,6,1,1,30,11,66,14,0
10,4,3,11,12,6,13,9,14,14,15,69,8,3,10,3,14,7,8,13,7,0,1,27,10,95,10,0
14,7,12,11,2,7,7,13,4,48,7,57,6,6,7,10,12,10,6,9,5,11,1,29,11,64,11,1
10,15,12,10,8,9,9,11,7,46,8,77,16,15,3,7,5,20,4,20,8,8,1,28,7,89,6,0
21,9,4,13,11,14,13,12,8,45,6,67,6,7,11,1,8,12,4,13,12,6,2,33,7,82,16,1
12,9,5,10,15,20,9,14,8,84,7,68,9,16,14,4,14,13,6,27,6,20,0,29,0,100,12,0
10,21,9,13,9,6,3,13,8,88,16,75,4,8,8,10,12,8,7,22,13,18,1,31,14,83,6,1
14,5,27,10,13,6,6,19,9,72,4,63,8,7,7,14,14,10,4,16,9,18,1,25,10,84,9,0
12,8,10,5,12,6,14,13,106,51,14,71,8,16,7,6,10,16,11,12,7,13,2,143,3,91,7,1
14,13,13,13,7,10,14,2,12,45,5,94,9,11,3,10,12,13,14,9,12,8,1,25,7,82,7,0
1,4,6,3,3,15,5,19,9,47,11,67,11,8,11,4,15,5,3,11,4,3,1,28,10,76,0,1
