index,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
1,59,36,52,74,44,41,81,58,61,202,26,53,59,53,57,50,56,56,0,
2,62,26,42,52,34,45,35,39,40,48,34,46,42,35,53,58,38,50,0,
3,49,59,37,42,28,38,66,45,46,49,46,52,39,32,38,35,18,38,0,
4,43,32,37,55,30,32,59,39,69,74,35,47,37,37,62,39,38,35,0,
5,41,29,46,46,53,53,31,35,32,37,27,58,41,48,57,34,44,51,0,
6,39,40,41,34,28,40,45,26,46,53,43,52,37,33,51,48,27,47,0,
7,44,47,53,59,45,36,41,62,55,237,28,56,82,43,48,25,38,51,0,
8,51,50,63,66,36,65,144,52,44,303,39,43,70,50,44,44,45,42,0,
9,50,50,25,57,47,38,46,64,46,232,37,41,55,62,55,64,55,46,0,
10,48,48,60,66,39,40,57,91,64,394,36,59,88,44,62,63,44,56,0,
11,48,29,55,69,65,73,59,75,46,428,39,52,94,66,62,59,40,45,0,
12,42,34,53,68,56,41,55,82,56,396,41,53,112,51,47,49,44,47,0,
13,43,47,68,63,69,63,42,83,45,527,33,47,115,61,46,65,56,57,0,
14,21,58,43,84,38,170,48,76,44,651,44,38,133,60,71,67,53,52,0,
15,58,37,58,81,84,38,49,87,43,597,31,46,134,52,50,60,45,49,0,
16,47,48,62,88,34,69,61,88,44,699,92,146,122,89,67,53,37,56,0,
17,59,49,56,97,63,47,65,92,56,510,143,42,129,71,61,67,40,49,0,
18,61,44,71,115,70,82,59,109,60,709,149,51,137,205,67,59,56,32,0,
19,62,62,76,116,56,91,79,92,57,573,178,32,122,97,63,70,75,63,0,
20,57,58,60,132,65,56,60,93,41,610,212,49,147,124,78,74,66,70,0,
21,49,40,50,120,62,74,90,93,53,561,234,51,123,97,87,71,82,54,0,
22,61,52,40,125,67,81,68,70,38,600,260,44,128,132,62,69,80,54,0,
23,52,69,65,132,43,56,86,89,51,638,340,39,130,122,67,70,66,51,0,
24,65,48,58,121,96,47,71,55,44,327,339,55,110,150,77,58,78,25,1,172.20.1.169
25,38,32,41,101,101,82,97,57,40,356,228,43,95,103,70,46,74,16,1,172.20.1.169
26,66,52,48,113,28,47,90,82,51,495,325,52,109,162,91,65,72,10,1,172.20.1.169
27,62,32,54,144,74,84,121,56,47,339,477,49,95,189,86,68,70,145,0,
28,50,45,68,170,58,67,130,101,35,740,441,44,163,201,103,82,80,43,0,
29,56,55,56,179,115,44,113,85,68,664,434,36,148,182,87,87,60,51,0,
