index,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
1,9756.0,7365.0,11075.0,9715.0,8360.0,7975.0,13308.0,13228.0,10023.0,27400.0,9883.0,9565.0,15282.0,8755.0,11891.0,13924.0,11670.0,9913.0,0,
2,11082.0,4940.0,7220.0,8901.0,6460.0,7785.0,6262.0,7410.0,7209.0,6861.0,6460.0,8617.0,7980.0,6494.0,9752.0,10450.0,7980.0,9447.0,0,
3,8855.0,10640.0,7010.0,7682.0,4750.0,7286.0,11730.0,8550.0,7521.0,8851.0,9500.0,8773.0,6840.0,5270.0,6719.0,6650.0,2679.0,6645.0,0,
4,7356.0,6080.0,7600.0,9589.0,4940.0,5815.0,10103.0,8740.0,12510.0,12937.0,6650.0,8236.0,7030.0,7208.0,11079.0,8170.0,7259.0,5196.0,0,
5,6564.0,6080.0,8740.0,7862.0,11040.0,8799.0,5309.0,7220.0,5353.0,6336.0,5130.0,9566.0,7790.0,8661.0,9615.0,6460.0,8379.0,9115.0,0,
6,8236.0,8170.0,7790.0,6011.0,5110.0,7215.0,6339.0,4940.0,7698.0,9520.0,8170.0,9185.0,7030.0,6333.0,9868.0,9120.0,5150.0,8084.0,0,
7,7778.0,9443.0,12093.0,8965.0,7980.0,6828.0,7018.0,14617.0,10294.0,37421.0,4952.0,10517.0,17474.0,8334.0,12691.0,6591.0,7509.0,8877.0,0,
8,9003.0,9891.0,12548.0,10195.0,6840.0,11132.0,140790.0,15595.0,7283.0,37196.0,7410.0,7443.0,19049.0,8567.0,11873.0,12454.0,9695.0,7633.0,0,
9,7926.0,10465.0,5524.0,8330.0,8930.0,6870.0,8204.0,14790.0,7828.0,28906.0,7030.0,7096.0,15507.0,11035.0,13184.0,16795.0,10909.0,7248.0,0,
10,8661.0,9909.0,13601.0,9529.0,7410.0,7093.0,9369.0,22923.0,11493.0,54228.0,6080.0,9755.0,22842.0,8035.0,16297.0,16683.0,9722.0,10825.0,0,
11,7205.0,8304.0,12552.0,10706.0,12719.0,11712.0,10668.0,21946.0,7640.0,52786.0,7980.0,8817.0,26564.0,11123.0,15921.0,18272.0,9733.0,8407.0,0,
12,6958.0,8094.0,13237.0,9587.0,11400.0,7097.0,9524.0,20545.0,10136.0,48334.0,7600.0,8267.0,29250.0,9254.0,14492.0,13286.0,9793.0,7936.0,0,
13,7240.0,10523.0,16252.0,7948.0,10754.0,11527.0,7960.0,24415.0,7871.0,68841.0,5510.0,9432.0,31612.0,11083.0,15010.0,21543.0,12294.0,10647.0,0,
14,4101.0,13264.0,11145.0,9843.0,7220.0,144640.0,8419.0,21739.0,8161.0,73334.0,6840.0,6519.0,41478.0,10995.0,20573.0,27034.0,12069.0,9305.0,0,
15,10322.0,8708.0,12628.0,10287.0,14857.0,7514.0,9020.0,23991.0,7752.0,71927.0,5320.0,8599.0,36844.0,10257.0,16295.0,20461.0,9723.0,9352.0,0,
