index,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
1,3046.0,4975.0,7136.0,5200.0,4091.0,5471.0,7161.0,9252.0,5101.0,147482.0,4678.0,4395.0,26035.0,14478.0,9909.0,14997.0,5122.0,6131.0,0,
2,3779.0,5565.0,3685.0,107974.0,3610.0,4333.0,4040.0,3354.0,5285.0,3401.0,3279.0,4595.0,3429.0,4557.0,6032.0,3204.0,5178.0,5293.0,0,
3,5596.0,3685.0,3279.0,6348.0,4272.0,6097.0,5919.0,3354.0,4665.0,5617.0,4678.0,5065.0,3941.0,4702.0,5321.0,2767.0,3960.0,4845.0,0,
4,108160.0,3023.0,4678.0,4470.0,3354.0,4778.0,6351.0,3129.0,3664.0,5149.0,3610.0,5327.0,4016.0,6030.0,5332.0,2948.0,4233.0,6167.0,0,
5,5064.0,4753.0,4753.0,4187.0,2436.0,5994.0,4451.0,3685.0,5933.0,4987.0,3610.0,5451.0,4603.0,107995.0,4474.0,2542.0,4291.0,4078.0,0,
6,5887.0,3685.0,4016.0,3724.0,3354.0,6327.0,5099.0,5084.0,3734.0,5598.0,4828.0,4989.0,4121.0,2235.0,5220.0,4091.0,3298.0,6830.0,0,
7,2928.0,4485.0,4053.0,5401.0,4016.0,4514.0,4852.0,6007.0,4292.0,97495.0,2873.0,5406.0,11417.0,5813.0,4578.0,5759.0,5160.0,5298.0,0,
8,4814.0,5317.0,6112.0,6569.0,3685.0,5692.0,3302.0,6320.0,5996.0,134671.0,3941.0,2742.0,12547.0,7871.0,5364.0,4906.0,5299.0,5253.0,0,
9,5782.0,4594.0,10111.0,5566.0,4091.0,16760.0,3373.0,13399.0,3332.0,143974.0,1880.0,5658.0,19217.0,5952.0,6508.0,5644.0,4239.0,5407.0,0,
10,5545.0,7987.0,6334.0,12779.0,39380.0,5663.0,12653.0,11986.0,12028.0,288024.0,2531.0,10867.0,34240.0,18036.0,6840.0,8834.0,4905.0,10009.0,0,
11,3195.0,4839.0,5888.0,8796.0,4091.0,12651.0,5176.0,8762.0,3847.0,200416.0,3460.0,4327.0,26240.0,11919.0,7048.0,6233.0,8045.0,6243.0,0,
12,4368.0,7736.0,6501.0,8019.0,8978.0,4152.0,7337.0,10716.0,5599.0,261737.0,14390.0,5869.0,34755.0,11803.0,12554.0,4981.0,6215.0,4826.0,0,
13,8471.0,8411.0,6020.0,11080.0,4241.0,5416.0,5879.0,12148.0,5074.0,293525.0,26244.0,5366.0,35500.0,25342.0,9873.0,9795.0,6613.0,4826.0,0,
14,5094.0,6380.0,7893.0,10473.0,12716.0,5734.0,7492.0,14842.0,3929.0,274849.0,22112.0,6406.0,33034.0,23304.0,7378.0,7570.0,7725.0,5790.0,0,
15,5288.0,7915.0,6271.0,10835.0,4091.0,5121.0,6573.0,8284.0,3903.0,236767.0,25208.0,4262.0,33347.0,27008.0,8963.0,9188.0,6633.0,5395.0,0,
16,7840.0,7386.0,7260.0,10921.0,13891.0,15505.0,18420.0,12943.0,5941.0,326957.0,42441.0,4385.0,41490.0,30966.0,10753.0,7957.0,8380.0,6079.0,0,
17,5956.0,6871.0,6586.0,13976.0,14845.0,3672.0,9715.0,11230.0,5233.0,349567.0,35686.0,5995.0,45314.0,36873.0,10367.0,10293.0,8778.0,9239.0,0,
18,7988.0,8388.0,7457.0,13067.0,2617.0,9694.0,12922.0,9602.0,7029.0,216444.0,47383.0,3811.0,36634.0,39743.0,111934.0,9016.0,6101.0,4151.0,0,
19,6588.0,6730.0,7807.0,15135.0,22298.0,7403.0,116291.0,11317.0,5437.0,273324.0,56084.0,6852.0,34689.0,45299.0,7767.0,8209.0,7534.0,7543.0,0,
20,10220.0,9314.0,7470.0,15854.0,4422.0,5957.0,9854.0,10015.0,3636.0,279486.0,56550.0,4011.0,42346.0,52347.0,13299.0,11647.0,6855.0,5689.0,0,
21,5781.0,5087.0,4792.0,18515.0,13751.0,10600.0,15947.0,12440.0,4715.0,367170.0,67403.0,6401.0,34404.0,48008.0,10179.0,8771.0,8988.0,8587.0,0,
22,9334.0,6391.0,6224.0,13884.0,3204.0,4584.0,14439.0,9490.0,4139.0,240385.0,71139.0,4812.0,43011.0,53863.0,14018.0,10204.0,8317.0,5169.0,0,
23,7844.0,7361.0,7153.0,17461.0,9591.0,8916.0,15575.0,12778.0,4245.0,286594.0,75301.0,2997.0,42708.0,55007.0,11357.0,8876.0,8260.0,6961.0,0,
24,9112.0,8365.0,8848.0,16416.0,7843.0,7482.0,17579.0,10809.0,6792.0,375097.0,63982.0,5932.0,55179.0,55805.0,14957.0,12955.0,7786.0,8335.0,0,
25,8926.0,8671.0,7479.0,17695.0,18726.0,7999.0,14815.0,16393.0,6792.0,388493.0,70932.0,6214.0,51517.0,61791.0,12117.0,11570.0,8696.0,5076.0,0,
26,8778.0,8057.0,8144.0,19594.0,8098.0,13281.0,20697.0,14212.0,6570.0,418162.0,74114.0,5614.0,56875.0,61905.0,12415.0,13932.0,9304.0,6681.0,0,
27,9359.0,8715.0,7873.0,17429.0,13490.0,5691.0,19083.0,13317.0,5400.0,321832.0,73402.0,6400.0,51725.0,56716.0,11158.0,9920.0,8183.0,6473.0,0,
28,8719.0,6515.0,9500.0,19533.0,14121.0,12745.0,22132.0,15397.0,5928.0,386090.0,82988.0,5152.0,53771.0,51382.0,14576.0,9821.0,9898.0,7098.0,0,
