172.20.0.0,172.20.1.164,172.20.1.165,172.20.1.166,172.20.1.167,172.20.1.168,172.20.1.169,172.20.1.170,172.20.1.171,172.20.1.172,172.20.1.173,172.20.1.210,172.20.1.215,172.20.2.148,172.20.2.149,172.20.2.150,172.20.2.151,172.20.2.152,172.20.2.153,172.20.2.154,172.20.2.155,172.20.2.217,172.20.2.218,172.20.2.226,172.20.1.211,172.20.2.172,172.20.2.212,172.20.2.228
1274,1742,1672,2734,2161,1330,831,342,1517,2248,2808,8383,765,1330,1330,1330,1140,1330,1900,2660,1330,1802,2680,9267,745,0,0,0
3902,2471,2351,1524,718,2087,1478,2161,2048,1552,1711,8929,987,570,3420,2090,1330,598,3230,760,2090,1887,1340,8518,1928,74,0,0
1807,1362,908,1974,2277,908,2277,2097,2087,2277,1742,7450,2486,2660,1900,570,2090,760,0,2090,2869,1767,765,9746,600,0,0,0
4165,381,757,2471,1478,2161,1478,1404,3044,1330,1711,7450,1562,1330,2090,1330,1520,2090,1330,1330,1900,1785,575,7711,1780,74,148,407
1955,222,760,982,954,1672,951,2284,222,1735,792,7129,3061,760,1330,760,570,2090,1900,2090,1330,1869,2105,5991,600,0,74,0
10080,194,2854,187,1404,1591,1214,570,1714,1140,764,8267,1562,2660,760,1330,0,2660,2090,2850,2850,103599,1340,6087,5861,0,148,407
148,570,74,1672,194,912,1524,1707,2808,1552,2161,5244,1721,1330,760,0,1520,570,570,1330,1900,1520,1530,6568,0,74,74,0
1206,1900,1482,1517,2161,1594,1591,1143,2471,1711,760,5345,1340,1330,2090,570,1710,0,760,1140,1349,1859,765,8448,400,0,74,407
148,2087,1021,2048,1102,1524,2242,2161,792,866,0,6162,1150,570,2660,1140,1140,1330,1140,760,760,1809,1530,6749,0,74,74,0
3086,2312,2242,1974,831,2544,1401,2242,2277,2281,4926,8789,575,3230,1330,570,1900,2090,2660,2090,570,3378,2680,11318,1503,0,0,0
3927,3041,1591,3611,2242,1140,1102,1021,342,296,2850,6648,2348,1330,1520,1330,570,570,570,570,2660,1901,1340,9270,1580,74,74,0
1807,1552,1672,1404,947,718,1707,2097,2277,3041,1594,6979,64654,1330,1330,1900,570,1900,760,760,2109,95909,2105,9420,600,0,0,0
5208,2851,2657,3611,2048,947,2048,2351,2432,2882,1334,6508,2137,570,760,1330,1710,0,2090,0,1900,2007,3255,13056,2412,0,148,407
1955,792,2090,2122,1520,2432,2847,2202,1214,6887,2502,9495,1721,1711,2090,1330,2434,5425,2090,1077,2334,1668,2105,9260,600,23718,74,0
3378,2094,1524,2281,2319,1781,2734,2008,1524,5302,2281,6633,2063,2480,1520,2842,1485,1231,760,4363,2144,1531,0,9852,2076,17633,148,407
222,1330,1974,718,2094,2432,2854,947,834,3879,1300,7977,1411,1660,1330,4897,2244,2228,1140,2811,760,1548,2490,9777,0,8801,74,0
2990,644,1482,1707,2351,1404,1214,2026,1141,3303,2087,8794,2105,2217,2090,2271,2435,894,0,2753,2300,1591,2680,7716,1000,8821,74,407
1582,1517,1591,342,2432,1711,3002,2269,222,6017,2561,7225,1752,1837,570,2807,1485,2744,1900,4287,2144,2419,575,8448,400,17632,74,0
1998,2312,2432,644,4026,2660,1401,2107,757,5763,757,8784,1724,2413,1900,2462,2435,3319,760,3984,1384,1859,1915,8929,871,17549,0,0
4778,1711,1781,194,1478,2847,1668,2416,2808,4232,954,7129,2736,1330,570,760,3004,2418,760,3066,1310,1774,2105,9340,2096,16961,74,0
1881,529,718,1552,2432,2808,2087,2083,4334,7116,3180,8303,2296,1900,1900,4718,1847,2620,4123,3090,1593,1841,2680,9371,600,35763,74,0
3603,1422,1330,1141,3747,1401,2238,4632,1183,5333,6014,7721,2137,2660,0,3959,2366,3507,4976,3719,2388,1718,1915,7791,2012,35468,74,407
148,391,2979,3452,7085,2432,764,2706,1622,13124,6060,7716,1721,1943,0,5277,2209,9132,7938,3841,4124,1742,1915,10381,0,51759,148,0
3774,1033,1524,757,2120,2351,1401,2085,1983,3919,5124,8218,2253,1458,1140,2245,1900,2231,4788,3318,2388,1485,575,7972,1922,8804,74,407
