index,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
1,42,48,42,59,35,31,61,39,43,62,42,47,34,65,44,33,57,37,0,
2,36,63,40,57,47,39,32,37,59,28,43,53,36,37,27,30,29,45,0,
3,42,44,26,52,39,37,48,52,47,228,38,63,65,47,34,35,62,37,0,
4,52,50,47,62,51,50,37,43,35,224,35,27,91,56,56,43,45,47,0,
5,37,41,45,65,41,63,87,51,34,182,99,130,67,69,37,46,45,131,0,
6,53,30,37,84,30,53,84,60,35,275,166,40,84,86,73,58,55,60,0,
7,34,57,52,78,37,43,79,58,59,173,236,33,70,123,48,54,53,37,0,
8,53,58,36,96,42,65,104,54,45,192,333,48,58,130,82,41,71,40,0,
9,40,55,59,106,75,75,89,50,34,196,352,46,87,153,71,59,72,62,0,
10,51,38,42,136,24,62,138,53,56,247,432,44,84,168,83,55,65,46,0,
11,54,53,47,137,53,68,127,45,50,246,382,55,81,149,80,63,51,38,0,
12,63,54,47,171,40,40,138,74,129,272,591,47,100,344,103,75,95,52,0,
13,67,35,38,174,65,97,163,74,48,282,643,41,101,224,119,68,87,69,0,
14,48,34,47,176,63,64,130,70,35,163,635,45,76,221,187,60,82,71,0,
15,60,47,44,177,30,114,153,84,47,470,672,50,138,239,85,96,70,62,0,
16,59,60,61,183,95,102,130,76,54,442,658,67,126,251,104,80,95,71,0,
17,78,49,50,276,133,57,140,61,33,401,675,58,135,233,116,83,101,54,0,
18,58,47,61,178,68,88,181,87,52,486,624,58,110,229,100,69,99,64,0,
19,68,47,63,186,112,63,155,82,55,610,669,64,175,243,104,101,90,73,0,
20,58,66,43,160,155,71,143,82,52,435,776,42,138,224,89,84,110,53,0,
21,84,48,72,240,127,50,246,91,50,728,811,52,186,311,133,87,93,77,0,
