index,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
1,42.0,48.0,42.0,59.0,35.0,31.0,61.0,39.0,43.0,62.0,42.0,47.0,34.0,65.0,44.0,33.0,57.0,37.0,0,
2,36.0,63.0,40.0,57.0,47.0,39.0,32.0,37.0,59.0,28.0,43.0,53.0,36.0,37.0,27.0,30.0,29.0,45.0,0,
3,42.0,44.0,26.0,52.0,39.0,37.0,48.0,52.0,47.0,228.0,38.0,63.0,65.0,47.0,34.0,35.0,62.0,37.0,0,
4,52.0,50.0,47.0,62.0,51.0,50.0,37.0,43.0,35.0,224.0,35.0,27.0,91.0,56.0,56.0,43.0,45.0,47.0,0,
5,37.0,41.0,45.0,65.0,41.0,63.0,87.0,51.0,34.0,182.0,99.0,27.0,67.0,69.0,37.0,46.0,45.0,47.0,0,
6,53.0,30.0,37.0,84.0,30.0,53.0,84.0,60.0,35.0,275.0,166.0,40.0,84.0,86.0,73.0,58.0,55.0,60.0,0,
7,34.0,57.0,52.0,78.0,37.0,43.0,79.0,58.0,59.0,173.0,236.0,33.0,70.0,123.0,48.0,54.0,53.0,37.0,0,
8,53.0,58.0,36.0,96.0,42.0,65.0,104.0,54.0,45.0,192.0,333.0,48.0,58.0,130.0,82.0,41.0,71.0,40.0,0,
9,40.0,55.0,59.0,106.0,75.0,75.0,89.0,50.0,34.0,196.0,352.0,46.0,87.0,153.0,71.0,59.0,72.0,62.0,0,
10,51.0,38.0,42.0,136.0,24.0,62.0,138.0,53.0,56.0,247.0,432.0,44.0,84.0,168.0,83.0,55.0,65.0,46.0,0,
11,54.0,53.0,47.0,137.0,53.0,68.0,127.0,45.0,50.0,246.0,382.0,55.0,81.0,149.0,80.0,63.0,51.0,38.0,0,
12,63.0,54.0,47.0,171.0,40.0,40.0,138.0,74.0,50.0,272.0,591.0,47.0,100.0,344.0,103.0,75.0,95.0,52.0,0,
13,67.0,35.0,38.0,174.0,65.0,97.0,163.0,74.0,48.0,282.0,643.0,41.0,101.0,224.0,119.0,68.0,87.0,69.0,0,
14,48.0,34.0,47.0,176.0,63.0,64.0,130.0,70.0,35.0,163.0,635.0,45.0,76.0,221.0,187.0,60.0,82.0,71.0,0,
15,60.0,47.0,44.0,177.0,30.0,114.0,153.0,84.0,47.0,470.0,672.0,50.0,138.0,239.0,85.0,96.0,70.0,62.0,0,
16,59.0,60.0,61.0,183.0,95.0,102.0,130.0,76.0,54.0,442.0,658.0,67.0,126.0,251.0,104.0,80.0,95.0,71.0,0,
17,78.0,49.0,50.0,276.0,133.0,57.0,140.0,61.0,33.0,401.0,675.0,58.0,135.0,233.0,116.0,83.0,101.0,54.0,0,
18,58.0,47.0,61.0,178.0,68.0,88.0,181.0,87.0,52.0,486.0,624.0,58.0,110.0,229.0,100.0,69.0,99.0,64.0,0,
19,68.0,47.0,63.0,186.0,112.0,63.0,155.0,82.0,55.0,610.0,669.0,64.0,175.0,243.0,104.0,101.0,90.0,73.0,0,
20,58.0,66.0,43.0,160.0,155.0,71.0,143.0,82.0,52.0,435.0,776.0,42.0,138.0,224.0,89.0,84.0,110.0,53.0,0,
21,84.0,48.0,72.0,240.0,127.0,50.0,246.0,91.0,50.0,728.0,811.0,52.0,186.0,311.0,133.0,87.0,93.0,77.0,0,
22,84.0,54.0,68.0,219.0,105.0,136.0,194.0,94.0,42.0,645.0,834.0,54.0,183.0,319.0,129.0,103.0,109.0,82.0,0,
23,87.0,60.0,59.0,262.0,61.0,104.0,195.0,114.0,59.0,782.0,883.0,50.0,184.0,355.0,143.0,107.0,118.0,68.0,0,
24,87.0,63.0,59.0,225.0,122.0,94.0,179.0,117.0,45.0,846.0,827.0,51.0,233.0,299.0,125.0,112.0,107.0,73.0,0,
25,84.0,48.0,42.0,218.0,156.0,197.0,200.0,118.0,49.0,693.0,854.0,43.0,180.0,305.0,147.0,106.0,124.0,72.0,0,
26,81.0,63.0,69.0,231.0,137.0,88.0,149.0,122.0,67.0,971.0,750.0,46.0,215.0,299.0,121.0,110.0,116.0,90.0,0,
27,70.0,74.0,87.0,232.0,133.0,117.0,181.0,125.0,54.0,901.0,760.0,51.0,217.0,298.0,120.0,109.0,117.0,72.0,0,
28,84.0,55.0,64.0,242.0,137.0,127.0,174.0,122.0,66.0,980.0,793.0,64.0,233.0,292.0,129.0,104.0,111.0,76.0,0,
29,77.0,70.0,50.0,262.0,117.0,99.0,226.0,136.0,47.0,880.0,953.0,54.0,230.0,360.0,137.0,108.0,133.0,76.0,0,
30,79.0,65.0,70.0,259.0,154.0,142.0,234.0,138.0,62.0,1006.0,899.0,46.0,223.0,308.0,127.0,122.0,141.0,81.0,0,
31,56.0,65.0,76.0,251.0,136.0,100.0,178.0,127.0,57.0,1095.0,909.0,57.0,260.0,358.0,148.0,104.0,133.0,77.0,0,
32,88.0,59.0,79.0,261.0,123.0,156.0,207.0,158.0,51.0,1065.0,943.0,50.0,250.0,336.0,133.0,124.0,125.0,56.0,0,
33,79.0,52.0,76.0,280.0,115.0,141.0,197.0,150.0,59.0,1194.0,958.0,50.0,280.0,371.0,156.0,126.0,136.0,76.0,0,
34,68.0,55.0,82.0,288.0,65.0,131.0,193.0,118.0,45.0,1054.0,995.0,71.0,281.0,356.0,152.0,118.0,126.0,58.0,0,
35,77.0,67.0,73.0,276.0,166.0,103.0,196.0,161.0,46.0,1176.0,870.0,54.0,248.0,338.0,134.0,134.0,113.0,67.0,0,
36,86.0,57.0,81.0,262.0,132.0,83.0,189.0,126.0,44.0,1130.0,929.0,49.0,266.0,460.0,135.0,147.0,130.0,70.0,0,
37,67.0,69.0,85.0,300.0,194.0,149.0,186.0,157.0,57.0,1437.0,847.0,49.0,294.0,325.0,138.0,139.0,152.0,65.0,0,
38,69.0,51.0,65.0,287.0,160.0,88.0,183.0,161.0,32.0,1310.0,864.0,42.0,273.0,351.0,141.0,108.0,141.0,75.0,0,
39,75.0,64.0,82.0,264.0,109.0,85.0,200.0,175.0,32.0,1403.0,796.0,43.0,293.0,305.0,133.0,118.0,123.0,72.0,0,
40,84.0,89.0,72.0,305.0,158.0,184.0,214.0,204.0,58.0,1659.0,942.0,51.0,360.0,347.0,172.0,143.0,139.0,77.0,0,
41,84.0,76.0,77.0,287.0,138.0,115.0,217.0,181.0,66.0,1528.0,922.0,48.0,329.0,383.0,150.0,137.0,130.0,65.0,0,
42,67.0,74.0,88.0,393.0,161.0,133.0,202.0,199.0,51.0,1573.0,969.0,57.0,337.0,376.0,150.0,144.0,134.0,69.0,0,
43,83.0,63.0,81.0,274.0,100.0,98.0,193.0,151.0,54.0,1414.0,863.0,45.0,318.0,343.0,152.0,138.0,118.0,71.0,0,
44,61.0,63.0,86.0,305.0,120.0,153.0,200.0,228.0,45.0,1881.0,900.0,75.0,389.0,334.0,167.0,136.0,135.0,68.0,0,
45,62.0,81.0,91.0,295.0,121.0,139.0,173.0,198.0,50.0,1565.0,872.0,57.0,323.0,330.0,158.0,138.0,131.0,84.0,0,
46,81.0,79.0,94.0,298.0,167.0,134.0,173.0,194.0,52.0,1619.0,940.0,48.0,379.0,373.0,164.0,171.0,158.0,66.0,0,
