index,172.20.2.197,172.20.1.184,172.20.1.185,172.20.2.205,172.20.1.193,172.20.2.204,172.20.1.194,172.20.2.198,172.20.1.186,172.20.1.187,172.20.2.206,172.20.2.207,172.20.1.195,172.20.1.196,172.20.1.188,172.20.2.199,172.20.2.211,172.20.1.197,172.20.1.198,172.20.2.210,172.20.2.208,172.20.1.189,172.20.2.200,172.20.2.209,172.20.1.200,172.20.2.214,172.20.1.201,172.20.1.191,172.20.2.202,172.20.1.190,172.20.2.201,172.20.1.199,172.20.2.213,172.20.1.192,172.20.2.203,label,target
1,3941,6219,4891,5356,7361,3342,6443,4272,3595,3596,2873,2948,4903,5035,5009,3835,3760,4739,3018,4091,16655,5811,4497,3685,8968,6298,8435,108958,4166,6617,3418,5153,5361,4558,4091,0,
2,4091,4522,5035,4903,4408,3413,3549,4828,4367,107177,4166,5640,3905,4631,5221,3610,3023,107386,3920,3279,4828,3220,4497,4347,3009,3023,7619,2743,5234,4068,3910,7087,4441,4264,4016,0,
3,4166,5516,4554,3638,4062,4887,4548,4434,4990,3967,3941,2948,106828,4768,4990,3354,4016,5074,5137,3685,3941,4297,3685,5415,4110,3023,5074,4040,3279,4032,4978,4005,5678,5138,1805,0,
4,3610,6091,7969,4220,6892,3483,4698,3941,6573,5144,3279,4497,9601,6923,4557,3535,3910,4146,4115,2948,27960,4527,2467,3760,12675,4497,10278,4979,4337,6797,2786,108496,3314,5651,3610,0,
5,4911,4573,5250,6847,6645,6032,8825,2873,6427,6537,5552,5216,7977,9129,4624,2948,5790,5213,67684,3610,27963,5761,4230,11394,10575,7961,8482,5923,3646,5496,3267,5479,6703,5152,6414,0,
6,4421,6438,5359,9549,6224,6250,5525,3354,3808,5538,7086,4706,6539,7068,3523,4166,3129,4790,111070,2948,33064,4076,3685,14014,16241,12515,13302,5172,6329,6606,3244,8455,5946,4737,5416,0,
7,5560,6707,5812,6198,9393,6092,8881,8548,6216,5891,7643,6331,7829,111847,2856,3429,3279,3448,149986,3279,44947,5059,4091,13286,19927,12178,17615,5811,5527,6439,7114,8448,5744,4914,3784,0,
8,5489,4580,108825,6611,9706,8203,6216,5821,5145,4446,6977,7176,10650,9560,6168,4903,3279,72209,129954,4828,53923,4960,3941,18130,19923,16018,22503,9906,6038,7258,6195,10149,6449,5250,3629,0,
9,4752,5320,6301,6263,6882,5381,8509,3279,4704,10387,8120,7057,8668,9465,3550,4922,4347,71225,119261,3429,34271,4669,4353,14257,18733,16900,19236,6667,5876,5942,6053,8488,6520,5115,3210,0,
10,5632,7607,6969,9525,9546,6409,8789,9134,3971,6267,9439,8952,9861,7994,4245,5490,3835,155507,95144,3023,57248,5016,4554,21179,22673,16158,21407,8223,6487,8013,6788,8019,7633,4274,4540,0,
11,6581,8960,8397,9250,10997,6821,9324,4016,12019,6981,6626,7664,10838,9901,3589,4185,4347,70460,121341,2542,68181,3155,3155,21905,24776,22715,26616,7173,4807,7725,7029,9000,9433,6131,4876,0,
12,5827,7273,10119,8269,10112,8419,10284,10507,7929,3267,11353,8543,11867,11421,3548,1805,3354,246730,110053,4016,57203,5509,5159,25479,26117,22993,29964,8611,7781,109877,8721,9815,8105,5084,5063,0,
13,5700,6694,6857,9519,10387,11010,12023,4753,7556,8458,9795,6186,8782,10446,5001,3692,3279,236115,88930,2873,70390,3995,3892,32321,28173,28602,28387,9764,8330,9566,6879,10883,7996,7219,5266,0,
14,7206,7683,8757,9294,12524,10514,10454,11283,2373,7482,11057,10769,10511,13763,5307,4091,3610,219724,132595,21014,61846,6429,5309,31850,32632,27192,29690,7528,6799,8898,7581,9697,8090,4883,4551,0,
15,5158,8206,7692,12074,12798,13261,11044,6724,5182,10716,8014,9045,11078,11089,4616,4005,3279,259747,67217,24254,62442,5737,5561,29784,33063,29606,34526,10176,10493,9836,5866,13035,7590,7590,4615,0,
16,7979,9571,8323,9585,10184,9710,14127,6734,10230,3785,11504,9013,14725,10423,108587,3685,5159,333539,101276,29536,64173,5836,3486,36717,40738,32340,36265,8942,8460,12369,7721,9354,7869,5376,4714,0,
17,6859,7392,7796,14664,13842,10952,13963,10046,11480,13915,12350,8924,10395,13968,4462,4685,3760,381520,101261,32119,58798,4648,4373,38911,29388,32784,35298,8590,7448,8548,8884,9540,9885,5958,5789,0,
18,7455,7141,7681,13127,12591,12096,14117,2984,8385,5219,11692,13261,13007,11641,2996,4516,4016,367641,271620,20619,76691,4487,3155,44216,38843,40029,43758,12120,11115,9604,12613,9718,10816,4947,5800,0,
19,5947,8812,8283,13857,14793,14659,14144,10728,8962,11865,17684,15975,11601,13874,5096,2380,2948,449266,260047,25814,64448,6242,5772,40981,41982,48016,37019,7654,7846,13161,9827,13095,12533,7300,4996,0,
20,7940,8065,9421,14641,13421,11704,14230,6560,106181,11397,10402,10789,12545,11636,3972,4016,18438,362521,182077,19967,65333,6054,5035,39484,41382,44550,41317,10428,9694,9795,10425,10902,12232,5163,4779,0,
21,7599,8664,7768,14286,14938,14855,15008,14031,10279,7629,12015,15554,15091,13755,6788,5016,30209,365009,257224,24978,70206,4727,4448,43749,48959,42258,46070,12706,8954,11469,12061,13940,12211,6802,4222,0,
22,6909,10645,10334,15820,14581,13257,13919,3685,6273,11942,12801,14173,13858,12732,4926,5072,26432,395951,231947,25523,71179,4031,3843,45293,46551,46096,38995,10273,8330,12639,10818,9841,13131,5797,6496,0,
23,7180,7131,9690,14923,14977,12893,16681,3204,16416,6584,11341,11535,17760,17396,6449,4685,21512,304754,245311,26391,99283,6238,4960,43261,50408,45096,51967,13523,7934,13161,9167,13428,13812,5421,4670,0,
24,8974,9386,7572,13959,14188,13715,16757,14016,11631,4153,12192,13108,13130,13932,4653,4185,27306,329887,228630,29180,70117,5635,3817,45878,43215,38372,48659,10149,9566,9532,9841,13803,12417,8308,6223,0,
25,6771,12193,10581,14095,15977,13931,119024,4016,4150,16563,11498,10989,18712,17412,6325,3523,24071,327303,251474,25687,99360,106797,4430,44016,156865,44051,58080,9591,10908,13232,12095,11601,11255,5045,4907,0,
26,7241,9728,10472,14470,20632,15534,16673,12636,17819,12659,13830,13654,20074,19179,4089,4262,31036,424326,237468,26305,113377,4298,4430,46759,56996,48524,65985,13358,11273,12608,11687,14440,14325,7024,5456,0,
27,7751,12100,13414,15354,19445,13621,17271,7639,4588,8127,11752,8530,17641,17112,6015,3854,30638,344847,168409,25441,122244,5762,4298,44247,63989,43494,66328,12690,14178,12443,13234,14442,12124,5528,4524,0,
28,9113,7230,9843,17982,18546,20276,18563,15316,23595,13604,17826,16132,16662,17791,3952,3852,24029,461559,317044,29388,104852,5637,4381,54651,56979,60136,62794,16194,13075,13773,9724,15391,14704,6756,7022,0,
29,9609,10247,11636,15975,19240,15508,17036,8931,5294,105479,13821,13005,16048,15455,5058,4091,20999,523939,220113,20467,117685,4128,3941,54524,57664,54069,59413,15722,13604,13879,12281,12905,13017,4575,6620,0,
30,9758,9079,9500,14660,19527,16700,16072,16277,9253,19045,15622,17561,19731,19897,5632,3455,21081,511397,208040,23439,115776,5908,3212,52476,58495,47634,58884,11410,10399,12366,10515,14190,14657,109375,3498,0,
31,7257,10345,12022,17804,20782,17254,19771,14083,8611,12791,14460,15662,120766,12744,3763,3767,26835,509236,268393,19298,118165,5349,5930,52465,60682,56738,62308,116315,11578,13550,11250,115693,15645,6493,5765,0,
32,8308,10508,8167,20336,21149,18201,20678,11382,7758,14031,16079,17780,20527,21749,5234,3786,21628,583209,326562,22886,135224,4296,3336,61332,65384,63569,65965,14288,16365,12924,13577,15906,15607,5228,5579,0,
33,8105,14123,10662,18553,18623,17314,16890,3685,22202,12866,13108,16231,17079,14923,4197,3617,24621,459002,237786,24935,126229,2458,1689,58694,61725,50938,61883,13150,10051,14882,13263,16066,13950,5768,5612,0,
34,10648,12058,11256,18518,19580,19827,19498,9915,15385,8711,16154,16562,21880,18074,4507,5166,28822,538753,350452,29494,123887,6745,4355,54923,63074,58844,68171,12568,12864,12411,13047,17267,15171,6830,6734,0,
35,9082,10840,10227,19879,20732,19429,19448,9768,13499,16660,17562,19439,17316,19747,5376,5335,22860,534870,373908,21216,128928,4578,3975,60264,65836,64697,63552,14042,13518,14192,12585,15185,15264,8104,5589,0,
36,10507,9918,11019,20890,18614,18258,20839,13259,17881,11315,20224,19698,18308,21954,3385,3948,22814,455726,430808,21185,130863,5716,4156,63859,71624,66213,62354,15482,14188,10774,13566,16652,14655,6250,5880,0,
37,11521,10311,11250,19922,22156,19760,23361,8208,11826,13765,19196,18385,20125,19528,5446,6659,22293,584072,392484,19142,126900,4033,3486,61521,71030,63035,64187,14487,10979,13943,14008,16549,16733,7179,5414,0,
38,9053,13727,112388,20988,22242,23394,22405,22425,13459,16168,21503,22731,22518,20550,4990,5004,20216,618203,426942,22768,166918,4028,4893,76851,78337,75990,72136,17579,12421,18603,14479,19143,16423,8034,6748,0,
