172.20.0.0,172.20.1.188,172.20.1.193,172.20.1.194,172.20.1.198,172.20.1.199,172.20.1.202,172.20.1.203,172.20.1.204,172.20.1.205,172.20.1.206,172.20.1.207,172.20.1.208,172.20.1.209,172.20.1.210,172.20.1.212,172.20.1.213,172.20.1.214,172.20.1.215,172.20.1.216,172.20.1.217,172.20.1.218,172.20.1.219,172.20.1.220,172.20.1.221,172.20.1.222,172.20.2.203,172.20.2.209,172.20.2.212,172.20.2.217,172.20.2.218,172.20.2.221,172.20.2.222,172.20.2.223,172.20.2.224,172.20.2.225,172.20.2.226,172.20.2.229,172.20.2.230,172.20.2.231,172.20.2.232,172.20.2.233,172.20.2.234,172.20.2.235,172.20.2.236,172.20.2.237,172.20.2.238,172.20.1.187,172.20.1.192,172.20.1.195,172.20.1.196,172.20.1.201,172.20.1.211,172.20.2.199,172.20.2.207,172.20.2.239,172.20.2.228,172.20.2.240
22,4,2,4,4,1,8,11,11,8,11,7,15,15,154,18,12,15,12,1,12,15,15,15,9,11,0,0,2,23,4,6,7,7,11,10,217,9,14,11,17,4,10,3,11,8,14,0,0,0,0,0,14,3,3,0,0,0
11,0,0,0,0,0,5,5,16,15,11,11,12,8,149,5,15,9,6,12,16,13,10,6,12,11,0,0,1,62,10,8,14,10,7,10,166,14,4,0,10,4,10,10,10,10,4,0,0,0,0,0,10,0,0,14,0,0
14,0,0,0,0,0,6,10,13,21,6,10,9,7,135,9,13,10,6,9,7,21,7,10,9,3,0,0,1,57,0,13,11,11,7,9,123,7,3,7,4,11,8,7,4,6,17,0,0,0,0,0,10,0,0,6,0,0
5,0,0,0,0,0,15,8,4,4,12,11,9,14,138,8,8,1,6,5,8,5,9,5,4,8,0,0,0,37,10,7,10,7,7,10,122,6,14,3,10,4,10,4,10,8,11,0,0,0,0,0,4,0,0,8,0,0
12,0,0,0,0,0,12,16,13,8,13,8,11,12,164,12,12,13,12,23,19,16,9,6,12,15,0,0,1,40,7,13,4,8,10,10,194,14,14,14,10,13,3,9,10,10,7,0,0,0,0,0,6,0,0,4,1,0
9,0,0,0,0,0,1,12,9,15,9,15,10,14,146,7,8,5,10,7,11,8,11,4,12,9,0,0,1,37,10,10,14,10,13,7,150,7,4,7,4,10,3,14,10,8,7,0,0,0,0,0,6,0,0,4,0,0
15,0,0,0,0,0,7,7,9,3,10,17,3,16,131,11,11,4,17,12,8,12,2,1,4,7,0,0,1,60,10,10,11,0,7,10,122,7,7,14,7,6,10,11,7,0,7,0,0,0,0,0,12,0,0,7,1,0
21,0,0,0,0,0,11,11,4,15,9,12,7,14,172,8,8,5,12,5,8,14,9,11,8,12,0,0,2,30,11,4,10,14,10,3,164,13,17,17,18,11,10,14,10,4,3,0,0,0,0,0,16,0,0,7,0,0
9,0,0,0,0,0,7,12,11,8,8,11,5,12,139,11,19,12,7,5,6,12,4,11,16,5,0,0,1,58,11,11,7,14,7,7,150,6,3,11,4,8,13,10,4,6,3,0,0,0,0,0,8,0,0,18,0,0
16,0,0,0,0,0,8,7,17,7,15,4,18,11,156,7,7,17,2,10,13,9,11,17,17,17,0,0,1,43,13,4,17,9,4,14,185,7,14,13,11,17,3,8,3,10,11,0,0,0,0,0,8,0,0,4,1,0
4,0,0,0,0,0,12,10,16,9,12,2,9,16,136,12,8,16,9,5,9,9,12,5,12,10,0,0,1,77,7,4,3,3,0,17,166,6,8,13,3,10,14,10,14,7,14,0,0,0,0,0,2,0,0,15,0,0
21,0,0,0,0,0,12,12,9,16,9,9,17,10,124,8,13,8,6,6,12,2,12,5,9,2,0,0,0,38,4,0,8,13,11,0,140,11,10,7,14,4,4,11,3,8,6,0,0,0,0,0,12,0,0,10,1,0
8,0,0,0,0,0,11,18,15,4,15,5,8,5,164,4,11,1,9,1,8,1,14,8,8,4,0,0,1,39,21,20,10,3,11,4,135,9,11,7,4,8,6,10,9,6,14,0,0,0,0,0,6,0,0,11,0,0
14,0,0,0,0,0,15,13,13,6,14,3,6,7,112,11,8,19,4,23,19,13,7,13,13,14,0,0,1,72,0,10,7,14,3,6,140,8,3,8,7,4,45,6,10,10,3,0,0,0,0,0,9,0,0,10,1,0
21,0,0,0,0,0,9,14,11,4,13,5,7,13,159,13,12,8,8,8,11,7,11,15,6,11,0,0,2,40,13,3,13,13,13,3,149,13,8,3,10,4,30,10,9,10,17,0,0,0,0,0,16,0,0,10,0,0
11,0,0,0,0,0,9,10,8,2,1,8,23,5,143,9,16,12,14,13,13,19,5,14,26,17,0,0,1,46,14,4,7,4,10,11,151,25,11,7,13,7,45,10,11,8,7,0,0,0,0,0,8,0,0,6,1,0
13,0,0,0,0,0,5,10,8,7,4,11,11,6,137,5,18,17,10,14,14,7,5,12,19,8,0,0,1,31,3,10,17,8,7,0,150,18,18,6,14,3,20,8,7,0,14,0,0,0,0,0,7,0,0,1,0,0
1,0,0,0,0,0,13,10,13,12,8,12,23,17,133,11,4,13,14,10,9,19,5,16,20,16,0,0,1,64,10,14,0,11,7,8,157,11,14,4,4,0,40,14,7,10,25,0,0,0,0,0,0,0,0,6,0,0
23,0,0,0,0,0,5,12,5,9,16,13,12,13,115,12,13,14,12,10,17,16,9,23,11,12,0,0,0,40,7,7,3,4,4,14,165,11,4,10,10,10,34,4,7,11,0,0,0,0,0,0,15,0,0,11,0,0
30,0,0,0,0,0,12,5,9,5,8,16,8,12,142,15,20,14,9,17,9,61,8,14,11,2,0,0,1,37,8,19,7,4,10,7,143,10,7,4,25,11,37,3,16,6,16,0,0,0,0,0,23,0,0,8,0,8
12,0,0,0,0,0,12,9,16,16,16,2,13,6,124,9,13,10,6,7,7,30,8,18,21,14,0,0,0,38,4,0,10,10,7,2,154,19,7,10,6,10,27,10,11,11,10,0,0,0,0,0,8,0,0,4,1,6
9,0,0,0,0,0,12,14,101,10,12,10,6,6,111,16,13,21,5,12,15,86,16,7,13,9,0,0,2,48,10,7,6,14,17,8,159,7,23,22,22,9,58,24,12,4,22,0,0,0,0,0,6,0,0,7,0,9
7,0,0,0,0,0,10,9,15,7,13,13,14,10,156,10,13,17,14,9,11,54,8,7,8,15,0,0,1,55,14,10,14,10,7,16,139,19,14,4,12,8,29,3,12,6,21,0,0,0,0,0,4,0,0,14,1,7
18,0,0,0,0,0,5,6,1,11,12,11,14,16,122,8,11,7,9,14,6,49,1,13,16,15,0,0,1,23,4,7,14,11,7,7,138,4,3,8,11,15,36,18,9,7,10,0,0,0,0,0,11,0,0,8,0,7
8,0,0,0,0,0,9,12,6,11,7,9,10,11,150,12,20,14,6,20,13,75,16,16,14,15,0,0,1,58,4,11,3,4,7,13,165,11,3,5,14,18,32,11,6,14,19,0,0,0,0,0,6,0,0,17,0,14
18,0,0,0,0,0,13,14,7,3,13,17,10,14,144,11,12,9,12,18,8,66,7,16,25,9,0,0,1,59,11,0,7,10,8,7,147,14,4,5,11,11,24,18,15,10,19,0,0,0,0,0,12,0,0,13,0,15
8,0,0,0,0,0,5,9,11,11,15,5,17,14,114,5,10,12,13,6,6,66,11,8,5,59,0,0,1,39,10,12,11,10,3,11,148,4,4,6,22,11,20,7,13,10,14,0,0,0,0,0,6,0,0,8,0,26
15,0,0,0,0,0,9,9,16,12,5,16,8,13,134,13,12,17,4,18,17,52,6,9,15,51,0,0,0,76,4,14,4,4,14,7,166,9,7,8,17,13,42,6,15,14,20,0,0,0,0,0,10,0,0,7,1,18
22,0,0,0,0,0,11,11,11,5,11,5,14,11,119,12,12,9,10,8,14,29,5,19,20,59,0,0,2,37,8,14,3,7,7,9,165,9,4,15,18,4,52,14,15,4,7,0,0,0,0,0,15,0,0,16,0,13
8,0,0,0,0,0,14,12,15,78,13,7,16,13,145,10,15,19,7,20,20,65,9,8,17,23,0,0,1,61,16,11,7,16,6,3,183,19,19,14,19,5,85,12,11,11,36,0,0,0,0,0,4,0,0,15,1,12
13,0,0,0,0,0,8,14,11,11,10,5,8,12,114,14,10,13,16,10,12,41,19,9,14,53,0,0,1,33,10,6,7,3,6,14,172,20,6,8,5,1,20,17,13,3,21,0,0,0,0,0,10,0,0,11,0,17
8,0,0,0,0,0,15,8,7,9,11,14,12,13,149,12,13,23,6,2,13,34,11,14,13,55,0,0,2,50,6,13,10,8,11,16,154,17,9,7,10,14,37,13,8,3,17,0,0,0,0,0,6,0,0,12,0,22
22,0,0,0,0,0,11,16,17,10,11,15,7,8,144,11,20,18,13,14,7,67,17,12,26,28,0,0,1,45,10,7,3,8,8,10,189,12,14,4,13,15,25,15,12,17,16,0,0,0,0,0,16,0,0,8,1,20
9,0,0,0,0,0,10,10,5,16,13,13,15,14,113,9,17,8,17,3,7,44,8,19,5,44,0,0,1,77,11,4,7,3,3,4,155,13,12,5,4,1,32,13,12,14,11,0,0,0,0,0,6,0,0,10,0,14
23,0,0,0,0,0,10,9,13,15,10,2,12,16,111,8,15,17,7,14,12,69,8,20,13,70,0,0,0,37,14,4,3,4,14,12,150,9,12,5,7,1,42,18,4,7,12,0,0,0,0,0,18,0,0,17,1,30
9,0,0,0,0,0,8,4,5,11,4,14,9,11,125,25,17,19,5,33,10,71,8,11,10,25,0,0,1,39,14,7,73,3,10,4,133,9,8,4,9,8,19,18,5,7,15,0,0,0,0,0,6,0,0,8,0,19
10,0,0,0,0,0,19,14,11,10,7,3,18,14,110,14,28,31,9,16,19,69,10,13,24,31,0,0,2,71,3,11,7,10,7,4,140,14,0,7,14,0,33,12,17,73,6,0,0,0,0,0,6,0,0,13,1,22
13,0,0,0,0,0,9,27,9,15,9,9,13,9,123,5,14,15,12,17,20,30,9,7,15,28,0,0,1,40,7,9,14,3,7,9,169,6,7,8,5,11,24,14,8,35,6,0,0,0,0,0,9,0,0,5,0,8
11,0,0,0,0,0,10,9,4,6,11,4,4,7,117,12,9,10,18,11,15,52,8,22,12,29,0,0,2,42,7,7,0,11,3,1,128,4,7,11,9,9,30,8,17,36,17,0,0,0,0,0,7,0,0,14,1,19
17,0,0,0,0,0,10,11,1,8,11,7,26,4,129,8,15,20,10,17,14,44,7,19,26,32,0,0,1,32,11,10,7,10,11,15,148,5,11,9,6,6,26,13,7,51,16,0,0,0,0,0,14,0,0,8,0,14
8,0,0,0,0,0,11,11,6,12,8,11,14,10,155,12,13,12,14,20,19,45,12,21,21,49,0,0,1,65,7,9,7,4,11,13,144,15,11,11,12,14,29,13,16,64,23,0,0,0,0,0,6,0,0,19,0,19
24,0,0,0,0,0,3,14,2,15,8,2,16,19,118,6,16,13,15,18,6,53,2,11,13,36,0,0,0,39,7,7,0,7,4,7,132,12,10,12,12,10,32,12,11,18,12,0,0,0,0,0,16,0,0,14,0,15
1,0,0,0,0,0,14,11,16,12,15,9,4,12,135,6,21,20,8,12,15,78,5,18,14,23,0,0,0,56,7,7,14,7,7,9,153,6,7,8,9,9,46,9,7,28,23,0,0,0,0,0,0,0,0,16,0,15
14,0,0,0,0,0,7,9,6,13,9,5,8,12,139,11,18,26,11,13,12,65,9,20,19,58,0,0,1,37,6,11,10,3,11,5,133,17,9,7,10,12,62,18,9,19,14,0,0,0,0,0,10,0,0,16,1,20
