index,172.20.1.203,172.20.2.221,172.20.1.202,172.20.2.233,172.20.1.213,172.20.2.231,172.20.1.214,172.20.1.204,172.20.1.205,172.20.2.222,172.20.1.217,172.20.1.216,172.20.2.236,172.20.2.232,172.20.1.206,172.20.2.223,172.20.2.237,172.20.1.218,172.20.2.234,172.20.1.222,172.20.2.224,172.20.1.207,172.20.2.238,172.20.1.221,172.20.1.220,172.20.2.235,172.20.1.208,172.20.1.209,172.20.2.229,172.20.2.225,172.20.2.239,172.20.1.219,172.20.2.230,172.20.1.212,label,target
1,8208,6080,5267,4560,9727,8768,10106,7521,7137,7220,7871,5832,7030,6460,9942,10260,8915,6716,7980,4928,9120,8239,9310,10544,7979,8488,10065,11349,8740,8170,6742,6976,9120,8584,0,
2,8348,5510,8235,5320,8046,4940,10058,9404,9189,6650,141809,7135,4560,7790,9569,6650,8918,10896,6080,9569,7030,6494,7980,8963,6575,5320,6980,11057,7600,7600,6289,6761,7980,6452,0,
3,9193,7030,6072,7030,9086,8740,11031,8731,7360,8930,9606,9953,5320,7790,7212,7030,11456,7633,6080,8809,3610,10133,5510,7349,8204,5130,6761,8426,6650,7980,7260,5618,9310,10139,0,
4,12368,6080,9723,5320,11507,6840,8125,9232,8658,7980,10611,10448,7600,8198,9868,8930,19638,6526,7220,6449,8360,8541,5069,14376,13812,6080,4854,9320,11544,9810,8478,8539,2660,10322,0,
5,9615,8028,6441,6044,12249,6805,11229,5689,11128,7321,14007,12929,12202,10205,12128,5510,27376,20368,5700,9418,5890,5195,9829,14580,17631,11913,11601,12375,9801,11737,11980,7099,10640,10510,0,
6,9430,5382,10761,6958,11983,6840,12822,8657,4168,6270,13770,16905,6427,9774,10702,7030,40915,23995,7220,9987,7980,9528,14016,18122,16528,10479,11389,13926,13814,12612,12711,6525,6460,10969,0,
7,11184,10636,12589,7724,11551,7300,10501,12485,11395,7790,16753,12456,12805,12815,9418,7613,37349,33688,7980,11610,9321,5354,13388,151726,17277,12105,18191,15023,19537,9608,10707,7282,12787,9480,0,
8,9443,8560,10062,11898,11414,7153,13940,7170,11887,7410,16935,19113,8902,11985,6952,9880,35528,24185,22397,8855,8581,10248,13252,19176,22464,13381,15711,13236,14292,18276,11905,11705,5158,9000,0,
9,13553,5628,13315,8207,13048,10918,15453,9914,6142,14745,15489,17072,11445,10492,8933,6270,41657,27628,21344,9344,7790,6231,11130,23883,24381,11145,17880,14676,10918,14292,14105,5692,6042,14990,0,
10,13487,6806,13007,8254,10038,6631,150262,8088,8661,9314,20372,15851,5727,8727,4393,8530,39285,26248,37471,7585,5510,8214,12113,28010,24578,12906,154889,13896,16718,14093,10407,8728,10640,10363,0,
11,9203,6844,8993,7290,16723,7982,10580,15420,10344,8170,17653,19269,16077,9722,6645,11272,43696,28200,32494,6793,5700,9112,12973,25396,30046,12392,22198,20503,11865,15175,11502,7402,7541,7664,0,
12,14437,9069,13581,10133,14558,7420,12138,8925,150895,9107,24259,25206,8328,7471,7802,6840,63084,26670,42625,8615,6851,9760,12851,37672,35845,14114,26328,22421,18785,17645,13977,9942,8156,145870,0,
