172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
42.0,48.0,42.0,59.0,35.0,31.0,61.0,39.0,43.0,62.0,42.0,47.0,34.0,65.0,44.0,33.0,57.0,37.0,0,
36.0,63.0,40.0,57.0,47.0,39.0,32.0,37.0,59.0,28.0,43.0,53.0,36.0,37.0,27.0,30.0,29.0,45.0,0,
42.0,44.0,26.0,52.0,39.0,37.0,48.0,52.0,47.0,228.0,38.0,63.0,65.0,47.0,34.0,35.0,62.0,37.0,0,
52.0,50.0,47.0,62.0,51.0,50.0,37.0,43.0,35.0,224.0,35.0,27.0,91.0,56.0,56.0,43.0,45.0,47.0,0,
37.0,41.0,45.0,65.0,41.0,63.0,87.0,51.0,34.0,182.0,99.0,27.0,67.0,69.0,37.0,46.0,45.0,47.0,0,
53.0,30.0,37.0,84.0,30.0,53.0,84.0,60.0,35.0,275.0,166.0,40.0,84.0,86.0,73.0,58.0,55.0,60.0,0,
34.0,57.0,52.0,78.0,37.0,43.0,79.0,58.0,59.0,173.0,236.0,33.0,70.0,123.0,48.0,54.0,53.0,37.0,0,
53.0,58.0,36.0,96.0,42.0,65.0,104.0,54.0,45.0,192.0,333.0,48.0,58.0,130.0,82.0,41.0,71.0,40.0,0,
40.0,55.0,59.0,106.0,75.0,75.0,89.0,50.0,34.0,196.0,352.0,46.0,87.0,153.0,71.0,59.0,72.0,62.0,0,
51.0,38.0,42.0,136.0,24.0,62.0,138.0,53.0,56.0,247.0,432.0,44.0,84.0,168.0,83.0,55.0,65.0,46.0,0,
54.0,53.0,47.0,137.0,53.0,68.0,127.0,45.0,50.0,246.0,382.0,55.0,81.0,149.0,80.0,63.0,51.0,38.0,0,
63.0,54.0,47.0,171.0,40.0,40.0,138.0,74.0,50.0,272.0,591.0,47.0,100.0,344.0,103.0,75.0,95.0,52.0,0,
67.0,35.0,38.0,174.0,65.0,97.0,163.0,74.0,48.0,282.0,643.0,41.0,101.0,224.0,119.0,68.0,87.0,69.0,0,
48.0,34.0,47.0,176.0,63.0,64.0,130.0,70.0,35.0,163.0,635.0,45.0,76.0,221.0,187.0,60.0,82.0,71.0,0,
60.0,47.0,44.0,177.0,30.0,114.0,153.0,84.0,47.0,470.0,672.0,50.0,138.0,239.0,85.0,96.0,70.0,62.0,0,
