,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
0,46.0,48.0,42.0,61.0,35.0,36.0,67.0,43.0,46.0,63.0,42.0,47.0,34.0,67.0,48.0,37.0,59.0,38.0,0,
1,42.0,55.0,36.0,61.0,43.0,44.0,35.0,37.0,63.0,33.0,46.0,55.0,33.0,39.0,34.0,30.0,30.0,49.0,0,
2,45.0,43.0,28.0,51.0,35.0,45.0,55.0,59.0,55.0,220.0,41.0,63.0,64.0,48.0,36.0,32.0,63.0,41.0,0,
3,61.0,51.0,48.0,64.0,48.0,56.0,42.0,53.0,36.0,173.0,35.0,39.0,100.0,59.0,59.0,46.0,47.0,58.0,0,
4,47.0,43.0,48.0,63.0,41.0,63.0,93.0,65.0,38.0,132.0,79.0,160.0,78.0,82.0,44.0,50.0,56.0,160.0,0,
5,62.0,32.0,43.0,79.0,30.0,55.0,101.0,75.0,38.0,171.0,115.0,41.0,106.0,113.0,83.0,62.0,71.0,59.0,0,
6,45.0,54.0,49.0,72.0,37.0,55.0,115.0,62.0,64.0,126.0,141.0,32.0,75.0,163.0,61.0,58.0,75.0,45.0,0,
7,70.0,63.0,40.0,89.0,42.0,62.0,145.0,71.0,47.0,136.0,213.0,51.0,69.0,183.0,98.0,42.0,88.0,49.0,0,
8,52.0,59.0,55.0,101.0,67.0,76.0,136.0,62.0,44.0,134.0,214.0,51.0,101.0,203.0,90.0,63.0,98.0,72.0,0,
9,72.0,41.0,44.0,122.0,24.0,47.0,192.0,74.0,64.0,171.0,284.0,45.0,96.0,221.0,104.0,58.0,100.0,45.0,0,
10,70.0,53.0,52.0,132.0,49.0,84.0,177.0,55.0,51.0,170.0,251.0,63.0,105.0,199.0,90.0,63.0,76.0,53.0,0,
11,90.0,58.0,52.0,151.0,34.0,42.0,204.0,92.0,51.0,182.0,359.0,50.0,116.0,466.0,130.0,78.0,132.0,61.0,0,
12,92.0,46.0,53.0,172.0,84.0,90.0,247.0,93.0,50.0,200.0,390.0,44.0,122.0,312.0,146.0,69.0,128.0,87.0,0,
13,68.0,32.0,55.0,166.0,56.0,67.0,205.0,74.0,44.0,118.0,370.0,50.0,91.0,330.0,248.0,56.0,118.0,91.0,0,
