,172.20.1.164,172.20.2.148,172.20.2.151,172.20.1.170,172.20.2.149,172.20.1.165,172.20.1.171,172.20.2.152,172.20.1.166,172.20.1.172,172.20.2.153,172.20.1.168,172.20.2.154,172.20.1.173,172.20.1.167,172.20.2.150,172.20.2.155,172.20.1.169,label,target
0,7054,9120,7980,10304,6650,5881,10897,8170,7711,10400,7980,7971,6460,11462,7666,7030,10850,6300,0,
1,7137,10450,6880,10332,8170,7138,5730,7030,10702,5048,8740,8810,6270,6149,5168,5700,5529,7856,0,
2,7212,8569,5252,8411,6650,7398,8880,11245,8810,148760,7790,11050,12683,7489,6488,8060,11391,6645,0,
3,10175,9458,9642,10660,9120,9379,7021,10157,5734,32934,6650,5956,18661,9825,14059,11334,7890,9752,0,
4,8421,8045,9051,10630,7790,10641,17981,14271,5650,25039,19869,138096,17575,14318,8079,14648,9245,138111,0,
5,9808,5951,8656,13012,5700,9530,17775,14134,6300,32661,28698,6220,21050,21035,19537,17639,11419,9749,0,
6,7640,9698,9240,12298,7030,8880,20977,13062,10474,24848,37290,5051,15231,32371,18156,17463,11850,7823,0,
7,11637,11862,7525,14386,7980,11715,27189,13040,7669,24769,56503,8770,13809,35985,28817,15736,14085,8136,0,
8,9108,11688,10309,17429,12721,14199,25774,12856,7412,26260,55127,8129,19107,42031,27243,24941,15286,13528,0,
9,12006,7582,8210,20976,4560,8017,38117,15119,10590,30385,80252,7823,18942,43673,31051,21369,14762,7582,0,
10,11382,9689,11145,21312,9274,15058,34505,9856,8982,33790,64984,10295,21822,38873,27105,22302,11051,8300,0,
11,16095,11492,9704,24964,6460,6431,38758,17848,138370,34436,102679,8471,23164,202241,45397,32928,19692,10265,0,
12,15175,8169,9880,28951,15942,16626,49780,20267,8860,38276,103493,7026,25039,62731,44927,26701,18796,15354,0,
13,12432,5973,10296,29572,10688,10997,38531,13701,6917,21681,95965,8175,17623,68541,175420,26856,17303,16564,0,
14,16092,10482,10750,27203,5890,19595,47433,24874,9000,59595,107037,9383,33429,72222,47316,41216,16081,14528,0,
15,13702,12096,14150,27438,16267,16368,38498,22119,9631,52426,101150,12564,31368,75401,48748,42557,21957,17211,0,
16,19171,10152,11161,164226,15538,9685,45855,17430,9828,53374,99449,12032,32400,75503,52115,39067,20670,14198,0,
17,13362,10421,16503,27262,22355,15442,49905,24965,10115,56681,103496,10491,30896,64315,43156,36761,23289,16443,0,
18,15415,10427,14928,29913,15905,12224,47141,22876,10475,81656,111352,12980,45479,70933,52389,49408,18528,16816,0,
19,18655,12275,7834,33011,17131,17990,56757,20249,13951,70849,98027,9617,27321,85891,47641,32319,20428,20103,0,
20,20800,10271,16446,37970,21012,15467,181509,25466,10908,84549,129278,11121,51609,93941,65159,54346,22636,19344,0,
21,19680,12105,18542,31730,16372,23710,60355,28053,7406,80363,131786,10043,48459,92833,60110,54575,24858,20040,0,
22,20643,14774,14314,38177,14144,17662,60669,36225,10940,90195,148327,9399,53738,100478,67330,58167,28713,17475,0,
23,153444,13223,13539,34928,20552,16260,57766,33696,8199,106257,130291,9384,60293,90367,62328,54123,24051,18077,0,
24,18070,11407,14350,35070,20366,149017,61358,32748,10480,78298,141093,9079,51570,89237,61818,57762,26703,21442,0,
25,19056,15143,19347,32650,21635,12517,47197,35953,13402,116038,123343,8882,61504,88079,61957,58284,26956,19358,0,
26,17741,16138,21184,33790,21996,19931,56095,38607,10187,111486,131242,8852,60079,82309,57035,57048,25152,18382,0,
27,20350,12958,18694,37075,22745,22596,58061,37349,13107,117016,124195,12072,66517,86522,66706,56547,24758,19838,0,
28,20163,15615,15843,39233,18574,17548,67388,39623,10309,105555,161792,11127,62857,103327,66780,60935,30141,149933,0,
29,19293,14500,19966,38080,24288,23970,73102,42564,12657,123029,144670,8744,62380,93149,65097,60226,31062,21897,0,
30,15528,15120,19100,35133,23637,17649,57842,39017,11393,124954,147507,11085,70893,103743,75643,63728,29097,18578,0,
31,20000,14366,21663,39717,20335,26754,66503,46641,10957,131981,154310,10495,69650,99406,70967,61708,28567,17620,0,
32,20248,12533,21520,39374,19012,23291,60318,48327,11421,141078,153707,142108,80532,108991,80504,68400,31354,19671,0,
33,18544,12874,21882,41630,9710,22573,61186,37333,8902,140250,161453,13108,72162,106252,82824,68168,28691,17930,0,
34,18332,16164,20358,39297,28240,18562,58705,50875,9600,141010,145038,11285,73230,95514,70808,70500,26359,18374,0,
35,20663,15003,22028,39125,20710,12624,61186,41799,8317,136427,156735,9334,76697,237744,70991,75905,27460,19468,0,
36,17145,16893,25825,41046,30267,26110,60188,54780,12202,174369,138109,10064,86020,94760,73228,71225,33455,18800,0,
37,17240,13622,19567,38746,25416,15428,55634,49665,8074,150523,148956,9007,79387,97330,76016,70243,32467,20695,0,
38,19748,17522,22727,36398,18049,17583,60542,55793,142654,175703,134617,8189,86016,89027,67362,68076,27956,18153,0,
39,21061,21359,24238,42333,26633,31402,67462,64654,11941,209049,145904,10806,101269,104960,89795,78353,31566,21829,0,
40,22440,18715,23507,40046,21694,21336,66630,56352,13169,180745,153578,9143,96729,106895,82166,79179,30812,16262,0,
41,17275,17121,26087,171524,26289,22535,63357,63182,11135,184861,150336,10960,97450,110356,218171,79235,32360,20514,0,
42,19848,14934,22314,36426,16456,17096,57334,50764,10585,171519,148568,8604,92721,98692,80212,74864,27553,16706,0,
43,16979,22736,26546,40471,18511,26674,64049,73730,10515,226252,147408,14059,110603,96226,88414,83201,31414,18318,0,
